,,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
417,Richarlison,br BRA,MFFW,Tottenham,25-352,1997,21,9,773,8.6,0,3,3,0,0,0,2,0,2.3,2.3,2.1,4.5,25,24,61,0.00,0.35,0.35,0.00,0.35,0.27,0.25,0.52,0.27,0.52,Matches,fa031b34
418,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-230,1996,4,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7a1f2c08
419,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-229,1989,6,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches,71ef519e
420,Andrew Robertson,sct SCO,DF,Liverpool,29-047,1994,29,25,2226,24.7,0,8,8,0,0,0,3,0,1.3,1.3,5.7,7.1,66,130,180,0.00,0.32,0.32,0.00,0.32,0.05,0.23,0.29,0.05,0.29,Matches,2e4f5f03
421,Antonee Robinson,us USA,DF,Fulham,25-262,1997,29,29,2548,28.3,0,1,1,0,0,0,7,0,0.1,0.1,1.1,1.2,91,105,131,0.00,0.04,0.04,0.00,0.04,0.00,0.04,0.04,0.00,0.04,Matches,289601e6
422,Marc Roca,es ESP,MF,Leeds United,26-152,1996,29,27,2161,24.0,1,2,3,1,0,0,7,0,1.8,1.8,2.7,4.5,20,160,24,0.04,0.08,0.12,0.04,0.12,0.08,0.11,0.19,0.08,0.19,Matches,da27e268
423,Marek Rodák,sk SVK,GK,Fulham,26-135,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,17acc2ed
424,Rodri,es ESP,MF,Manchester City,26-309,1996,30,30,2541,28.2,2,6,8,2,0,0,5,0,4.2,4.2,4.0,8.2,68,239,35,0.07,0.21,0.28,0.07,0.28,0.15,0.14,0.29,0.15,0.29,Matches,6434f10d
425,Rodrigo,es ESP,FWMF,Leeds United,32-052,1991,26,20,1615,17.9,11,1,12,10,1,1,4,0,7.5,6.7,1.5,8.3,36,42,126,0.61,0.06,0.67,0.56,0.61,0.42,0.08,0.50,0.38,0.46,Matches,1fb1c435
426,Mads Roerslev,dk DEN,DF,Brentford,23-307,1999,17,12,1098,12.2,0,0,0,0,0,0,0,0,0.3,0.3,1.0,1.3,8,19,36,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,57c94db2
427,Cristian Romero,ar ARG,DF,Tottenham,25-000,1998,23,22,2004,22.3,0,0,0,0,0,0,10,1,0.8,0.8,0.3,1.1,18,82,7,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches,a3d94a58
428,Oriol Romeu,es ESP,MF,Southampton,31-215,1991,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b511457
429,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-081,1985,10,4,525,5.8,1,0,1,1,0,0,2,0,1.9,1.9,0.4,2.3,9,12,33,0.17,0.00,0.17,0.17,0.17,0.32,0.07,0.40,0.32,0.40,Matches,dea698d9
430,Connor Ronan,ie IRL,MF,Wolves,25-052,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1b804500
431,Salomón Rondón,ve VEN,FW,Everton,33-223,1989,7,1,109,1.2,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.66,0.13,0.79,0.66,0.79,Matches,b318a643
432,Joe Rothwell,eng ENG,MF,Bournemouth,28-106,1995,16,8,716,8.0,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,7,25,9,0.00,0.13,0.13,0.00,0.13,0.02,0.13,0.14,0.02,0.14,Matches,10a10454
433,Georginio Rutter,fr FRA,FWMF,Leeds United,21-007,2002,10,1,242,2.7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,5,5,14,0.00,0.00,0.00,0.00,0.00,0.11,0.09,0.19,0.11,0.19,Matches,c64c01fc
434,José Sá,pt POR,GK,Wolves,30-100,1993,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,903b6e8b
435,Marcel Sabitzer,at AUT,MF,Manchester Utd,29-041,1994,8,6,510,5.7,0,1,1,0,0,0,1,0,0.6,0.6,0.8,1.5,8,33,18,0.00,0.18,0.18,0.00,0.18,0.11,0.14,0.26,0.11,0.26,Matches,e280527c
436,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-046,1997,20,11,997,11.1,1,5,6,1,0,0,1,0,1.5,1.5,3.8,5.3,73,58,99,0.09,0.45,0.54,0.09,0.54,0.13,0.34,0.48,0.13,0.48,Matches,2b16cb1a
437,Bukayo Saka,eng ENG,FW,Arsenal,21-234,2001,33,32,2783,30.9,13,11,24,11,2,3,6,0,10.1,8.0,7.9,15.9,152,93,459,0.42,0.36,0.78,0.36,0.71,0.33,0.26,0.58,0.26,0.51,Matches,bc7dc64d
438,Mohamed Salah,eg EGY,FW,Liverpool,30-316,1992,32,31,2760,30.7,16,7,23,16,0,2,2,0,16.4,14.8,5.7,20.5,92,119,337,0.52,0.23,0.75,0.52,0.75,0.53,0.19,0.72,0.48,0.67,Matches,e342ad68
439,William Saliba,fr FRA,DF,Arsenal,22-034,2001,27,27,2415,26.8,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13,99,2,0.07,0.04,0.11,0.07,0.11,0.03,0.04,0.08,0.03,0.08,Matches,972aeb2a
440,Mohammed Salisu,gh GHA,DF,Southampton,24-010,1999,22,21,1973,21.9,0,1,1,0,0,0,5,0,1.5,1.5,0.6,2.1,5,82,4,0.00,0.05,0.05,0.00,0.05,0.07,0.03,0.10,0.07,0.10,Matches,0b33f6ad
441,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-187,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,1b4f1169
442,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-187,1999,9,6,536,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,1b4f1169
443,Davinson Sánchez,co COL,DF,Tottenham,26-319,1996,16,6,678,7.5,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,30,4,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,da7b447d
444,Robert Sánchez,es ESP,GK,Brighton,25-160,1997,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6a713852
445,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-033,2000,18,15,1188,13.2,4,2,6,4,0,0,0,0,3.0,3.0,2.3,5.2,51,54,118,0.30,0.15,0.45,0.30,0.45,0.22,0.17,0.39,0.22,0.39,Matches,dbf053da
446,Morgan Sanson,fr FRA,MF,Aston Villa,28-252,1994,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6e7f1353
447,Pablo Sarabia,es ESP,FWMF,Wolves,30-351,1992,12,8,696,7.7,1,0,1,1,0,0,3,0,2.9,2.9,0.8,3.7,14,36,46,0.13,0.00,0.13,0.13,0.13,0.38,0.10,0.48,0.38,0.48,Matches,9744ff80
448,Jeremy Sarmiento,ec ECU,MF,Brighton,20-315,2002,9,1,176,2.0,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5,11,20,0.00,0.51,0.51,0.00,0.51,0.17,0.11,0.28,0.17,0.28,Matches,ac0d576d
449,Gianluca Scamacca,it ITA,FW,West Ham,24-116,1999,16,11,926,10.3,3,0,3,3,0,0,3,0,2.5,2.5,0.7,3.1,13,17,48,0.29,0.00,0.29,0.29,0.29,0.24,0.07,0.31,0.24,0.31,Matches,8790f988
450,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-112,1994,6,2,181,2.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,9,12,4,0.00,0.00,0.00,0.00,0.00,0.13,0.02,0.14,0.13,0.14,Matches,2964fd20
451,Kevin Schade,de GER,FW,Brentford,21-151,2001,13,4,455,5.1,0,1,1,0,0,0,2,0,1.9,1.9,0.7,2.6,16,8,34,0.00,0.20,0.20,0.00,0.20,0.38,0.14,0.51,0.38,0.51,Matches,52afb588
452,Fabian Schär,ch SUI,DF,Newcastle Utd,31-128,1991,29,29,2576,28.6,1,3,4,1,0,0,5,0,3.7,3.7,3.0,6.7,24,116,19,0.03,0.10,0.14,0.03,0.14,0.13,0.10,0.24,0.13,0.24,Matches,c8aa95da
453,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-125,1992,32,28,2368,26.3,2,1,3,2,0,0,6,0,2.7,2.7,1.4,4.1,29,92,62,0.08,0.04,0.11,0.08,0.11,0.10,0.05,0.16,0.10,0.16,Matches,3312f911
454,Nélson Semedo,pt POR,DF,Wolves,29-162,1993,31,26,2228,24.8,0,1,1,0,0,0,9,1,0.3,0.3,0.7,1.0,40,95,134,0.00,0.04,0.04,0.00,0.04,0.01,0.03,0.04,0.01,0.04,Matches,d04b94db
455,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-110,2000,9,2,243,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,5,11,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Matches,efd2ec23
456,Marcos Senesi,ar ARG,DF,Bournemouth,25-352,1997,26,24,2064,22.9,2,0,2,2,0,0,4,0,1.5,1.5,0.5,2.0,8,42,2,0.09,0.00,0.09,0.09,0.09,0.07,0.02,0.09,0.07,0.09,Matches,35141f4c
457,Ryan Sessegnon,eng ENG,DF,Tottenham,22-344,2000,17,9,813,9.0,2,0,2,2,0,0,4,0,1.6,1.6,1.1,2.7,24,22,64,0.22,0.00,0.22,0.22,0.22,0.18,0.12,0.30,0.18,0.30,Matches,6aa3e78b
458,Luke Shaw,eng ENG,DF,Manchester Utd,27-289,1995,24,23,1967,21.9,1,2,3,1,0,0,6,0,0.9,0.9,3.0,3.9,52,106,66,0.05,0.09,0.14,0.05,0.14,0.04,0.14,0.18,0.04,0.18,Matches,9c94165b
459,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-059,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3727dd3c
460,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-059,1992,8,6,540,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,1,34,0,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches,3727dd3c
461,Bernardo Silva,pt POR,MFFW,Manchester City,28-260,1994,29,22,2007,22.3,4,5,9,4,0,0,4,0,2.2,2.2,2.9,5.1,84,112,164,0.18,0.22,0.40,0.18,0.40,0.10,0.13,0.23,0.10,0.23,Matches,3eb22ec9
462,Thiago Silva,br BRA,DF,Chelsea,38-217,1984,22,21,1902,21.1,0,2,2,0,0,0,1,0,1.2,1.2,0.4,1.6,4,89,1,0.00,0.09,0.09,0.00,0.09,0.06,0.02,0.08,0.06,0.08,Matches,86e7deaf
463,Ellis Simms,eng ENG,FW,Everton,22-112,2001,9,2,214,2.4,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,4,18,0.42,0.00,0.42,0.42,0.42,0.36,0.03,0.39,0.36,0.39,Matches,26d3b5be
464,Luis Sinisterra,co COL,FW,Leeds United,23-314,1999,19,13,867,9.6,5,0,5,5,0,0,3,1,3.7,3.7,0.4,4.2,30,39,84,0.52,0.00,0.52,0.52,0.52,0.39,0.04,0.43,0.39,0.43,Matches,8e16dd48
465,Oliver Skipp,eng ENG,MF,Tottenham,22-223,2000,17,12,989,11.0,1,0,1,1,0,0,6,0,0.3,0.3,0.6,0.8,12,45,21,0.09,0.00,0.09,0.09,0.09,0.02,0.05,0.08,0.02,0.08,Matches,6250083a
466,Adam Smith,eng ENG,DF,Bournemouth,31-363,1991,31,30,2572,28.6,0,1,1,0,0,0,9,0,0.5,0.5,0.8,1.3,21,76,36,0.00,0.03,0.03,0.00,0.03,0.02,0.03,0.05,0.02,0.05,Matches,20b104bc
467,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-273,2000,10,0,142,1.6,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,2,5,11,0.00,0.63,0.63,0.00,0.63,0.17,0.38,0.55,0.17,0.55,Matches,17695062
468,Cédric Soares,pt POR,DF,Arsenal,31-239,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,839c14e1
469,Cédric Soares,pt POR,DF,Fulham,31-239,1991,5,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,9,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches,839c14e1
470,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-225,1997,27,26,2324,25.8,5,6,11,5,0,0,1,0,8.2,8.2,3.3,11.6,55,36,138,0.19,0.23,0.43,0.19,0.43,0.32,0.13,0.45,0.32,0.45,Matches,e77dc3b2
471,Manor Solomon,il ISR,FW,Fulham,23-277,1999,13,4,487,5.4,4,0,4,4,0,0,0,0,1.0,1.0,0.3,1.3,11,20,45,0.74,0.00,0.74,0.74,0.74,0.19,0.06,0.24,0.19,0.24,Matches,886f9aac
472,Tomáš Souček,cz CZE,MF,West Ham,28-059,1995,32,28,2488,27.6,1,2,3,1,0,0,2,0,3.2,3.2,1.2,4.4,11,81,42,0.04,0.07,0.11,0.04,0.11,0.12,0.04,0.16,0.12,0.16,Matches,6613c819
473,Boubakary Soumaré,fr FRA,MF,Leicester City,24-059,1999,21,15,1194,13.3,0,0,0,0,0,0,7,0,0.0,0.0,0.3,0.3,14,60,14,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,ae59b359
474,Harry Souttar,au AUS,DF,Leicester City,24-187,1998,10,10,900,10.0,0,1,1,0,0,0,2,0,1.4,1.4,0.2,1.6,6,28,4,0.00,0.10,0.10,0.00,0.10,0.14,0.02,0.16,0.14,0.16,Matches,0a6cb1b1
475,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-339,1996,5,4,349,3.9,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,3,7,0,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,21166ff4
476,Djed Spence,eng ENG,FWDF,Tottenham,22-261,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.83,0.83,0.83,Matches,9bc9a519
477,Jack Stacey,eng ENG,DF,Bournemouth,27-021,1996,9,3,297,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,9,2,15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,558807c0
478,Junior Stanislas,eng ENG,MF,Bournemouth,33-152,1989,4,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,0,4,5,0.00,0.00,0.00,0.00,0.00,0.05,0.19,0.25,0.05,0.25,Matches,6992791d
479,Jay Stansfield,eng ENG,FW,Fulham,20-154,2002,3,1,87,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,2,0,4,0.00,0.00,0.00,0.00,0.00,0.26,0.09,0.35,0.26,0.35,Matches,b2626673
480,Jason Steele,eng ENG,GK,Brighton,32-252,1990,7,7,630,7.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.14,0.14,0.00,0.14,0.00,0.01,0.01,0.00,0.01,Matches,28300a16
481,Jack Stephens,eng ENG,DF,Southampton,29-090,1994,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6adbc307
482,Jack Stephens,eng ENG,DF,Bournemouth,29-090,1994,15,13,1173,13.0,0,0,0,0,0,0,3,0,0.4,0.4,0.2,0.6,7,34,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,6adbc307
483,Raheem Sterling,eng ENG,FWMF,Chelsea,28-140,1994,23,19,1545,17.2,4,2,6,4,0,0,4,0,4.6,4.6,4.1,8.6,63,50,151,0.23,0.12,0.35,0.23,0.35,0.27,0.24,0.50,0.27,0.50,Matches,b400bde0
484,John Stones,eng ENG,DFMF,Manchester City,28-334,1994,19,18,1549,17.2,2,2,4,2,0,0,2,0,0.8,0.8,1.3,2.1,23,93,31,0.12,0.12,0.23,0.12,0.23,0.05,0.08,0.12,0.05,0.12,Matches,5eecec3d
485,Pascal Struijk,nl NED,DF,Leeds United,23-259,1999,25,24,2047,22.7,2,1,3,2,0,0,4,0,1.3,1.3,2.3,3.6,22,114,45,0.09,0.04,0.13,0.09,0.13,0.06,0.10,0.16,0.06,0.16,Matches,f4d296e4
486,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-071,2002,12,8,718,8.0,0,0,0,0,0,0,1,0,1.0,1.0,0.5,1.5,23,32,65,0.00,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,Matches,a62f8bf1
487,Crysencio Summerville,nl NED,FW,Leeds United,21-179,2001,25,11,1282,14.2,4,2,6,4,0,0,3,0,2.6,2.6,1.6,4.1,47,40,77,0.28,0.14,0.42,0.28,0.42,0.18,0.11,0.29,0.18,0.29,Matches,df04eb4b
488,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-273,1998,18,1,311,3.5,1,0,1,1,0,0,2,0,1.8,1.8,0.1,1.8,2,6,14,0.29,0.00,0.29,0.29,0.29,0.52,0.02,0.53,0.52,0.53,Matches,b017b770
489,Japhet Tanganga,eng ENG,DF,Tottenham,24-027,1999,3,2,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e9971f2d
490,Matt Targett,eng ENG,DF,Newcastle Utd,27-221,1995,13,4,459,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,3,34,13,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches,e514ab62
491,James Tarkowski,eng ENG,DF,Everton,30-159,1992,32,32,2880,32.0,1,1,2,1,0,0,6,0,2.5,2.5,2.2,4.7,13,93,7,0.03,0.03,0.06,0.03,0.06,0.08,0.07,0.15,0.08,0.15,Matches,15ea812b
492,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-036,1999,22,18,1666,18.5,4,4,8,4,0,0,1,0,2.8,2.8,2.7,5.5,60,48,129,0.22,0.22,0.43,0.22,0.43,0.15,0.15,0.30,0.15,0.30,Matches,5c0da4a4
493,Tetê,br BRA,FW,Leicester City,23-071,2000,11,9,659,7.3,1,0,1,1,0,0,0,0,1.7,1.7,0.4,2.1,19,23,52,0.14,0.00,0.14,0.14,0.14,0.23,0.06,0.29,0.23,0.29,Matches,7120a04d
494,Kenny Tete,nl NED,DF,Fulham,27-200,1995,26,24,2119,23.5,0,4,4,0,0,0,7,0,0.4,0.4,1.7,2.1,59,84,57,0.00,0.17,0.17,0.00,0.17,0.02,0.07,0.09,0.02,0.09,Matches,77d7c96f
495,Luke Thomas,eng ENG,DF,Leicester City,21-321,2001,12,8,767,8.5,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.7,7,37,7,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,fc027d02
496,Youri Tielemans,be BEL,MF,Leicester City,25-355,1997,26,22,1925,21.4,3,1,4,2,1,2,4,0,2.4,0.8,3.7,4.5,31,163,51,0.14,0.05,0.19,0.09,0.14,0.11,0.17,0.28,0.04,0.21,Matches,56f7a928
497,Kieran Tierney,sct SCO,DF,Arsenal,25-326,1997,22,5,618,6.9,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,23,30,26,0.00,0.15,0.15,0.00,0.15,0.04,0.05,0.09,0.04,0.09,Matches,fce2302c
498,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-251,1995,16,9,884,9.8,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.0,8,26,41,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,a105d46a
499,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-173,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28,0.00,0.14,0.14,0.00,0.14,0.03,0.08,0.11,0.03,0.11,Matches,b3af9be1
500,James Tomkins,eng ENG,DF,Crystal Palace,34-029,1989,6,3,338,3.8,1,0,1,1,0,0,3,1,1.0,1.0,0.0,1.0,1,2,1,0.27,0.00,0.27,0.27,0.27,0.27,0.00,0.27,0.27,0.27,Matches,e7ca0439
501,Ivan Toney,eng ENG,FW,Brentford,27-042,1996,31,31,2771,30.8,19,4,23,13,6,7,9,0,18.6,13.1,4.9,18.1,13,73,154,0.62,0.13,0.75,0.42,0.55,0.61,0.16,0.77,0.43,0.59,Matches,e09f279b
502,Adama Traoré,es ESP,FWMF,Wolves,27-092,1996,29,10,1287,14.3,2,1,3,2,0,0,0,0,1.2,1.2,3.5,4.7,73,32,141,0.14,0.07,0.21,0.14,0.21,0.09,0.25,0.33,0.09,0.33,Matches,9a28eba4
503,Bertrand Traoré,bf BFA,FW,Aston Villa,27-233,1995,6,0,161,1.8,2,0,2,2,0,0,1,0,0.6,0.6,0.1,0.7,8,7,20,1.12,0.00,1.12,1.12,1.12,0.35,0.04,0.40,0.35,0.40,Matches,c47541e0
504,Boubacar Traoré,ml MLI,MF,Wolves,21-250,2001,8,4,384,4.3,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,4,8,2,0.00,0.23,0.23,0.00,0.23,0.02,0.04,0.06,0.02,0.06,Matches,999ceb5f
505,Mark Travers,ie IRL,GK,Bournemouth,23-344,1999,11,10,945,10.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fe558029
506,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-220,1990,31,31,2712,30.1,1,6,7,1,0,0,5,0,0.7,0.7,9.5,10.2,30,205,124,0.03,0.20,0.23,0.03,0.23,0.02,0.31,0.34,0.02,0.34,Matches,21512407
507,Leandro Trossard,be BEL,FW,Arsenal,28-144,1994,15,7,643,7.1,1,8,9,1,0,0,0,0,1.4,1.4,3.7,5.1,29,43,85,0.14,1.12,1.26,0.14,1.26,0.20,0.51,0.71,0.20,0.71,Matches,38ceb24a
508,Leandro Trossard,be BEL,FWMF,Brighton,28-144,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,6.5,40,67,118,0.48,0.14,0.62,0.48,0.62,0.30,0.14,0.45,0.30,0.45,Matches,38ceb24a
509,Kostas Tsimikas,gr GRE,DF,Liverpool,26-350,1996,16,7,622,6.9,0,4,4,0,0,0,2,0,0.6,0.6,1.5,2.2,19,22,69,0.00,0.58,0.58,0.00,0.58,0.09,0.22,0.31,0.09,0.31,Matches,f315ca93
510,Deniz Undav,de GER,FWMF,Brighton,26-282,1996,14,2,274,3.0,0,0,0,0,0,0,0,0,2.2,2.2,0.8,3.0,3,3,24,0.00,0.00,0.00,0.00,0.00,0.73,0.26,0.99,0.73,0.99,Matches,dd549382
511,Yan Valery,tn TUN,DF,Southampton,24-064,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,531a4aa8
512,Virgil van Dijk,nl NED,DF,Liverpool,31-293,1991,27,27,2385,26.5,3,0,3,3,0,0,2,0,2.4,2.4,0.3,2.7,10,113,6,0.11,0.00,0.11,0.11,0.11,0.09,0.01,0.10,0.09,0.10,Matches,e06683ca
513,Raphaël Varane,fr FRA,DF,Manchester Utd,30-002,1993,21,19,1651,18.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,16,53,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,9f8e9423
514,Jamie Vardy,eng ENG,FW,Leicester City,36-106,1987,32,15,1526,17.0,2,4,6,2,0,0,1,0,3.2,3.2,1.2,4.5,12,13,87,0.12,0.24,0.35,0.12,0.35,0.19,0.07,0.26,0.19,0.26,Matches,45963054
515,Joël Veltman,nl NED,DF,Brighton,31-102,1992,27,22,1990,22.1,1,1,2,1,0,0,3,0,1.7,1.7,0.5,2.2,43,142,47,0.05,0.05,0.09,0.05,0.09,0.08,0.02,0.10,0.08,0.10,Matches,dad4b285
516,Fabio Vieira,pt POR,MF,Arsenal,22-332,2000,20,3,477,5.3,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,7,30,39,0.19,0.38,0.57,0.19,0.57,0.16,0.47,0.62,0.16,0.62,Matches,6412cc03
517,Matías Viña,uy URU,DFMF,Bournemouth,25-169,1997,6,1,98,1.1,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,3,5,5,0.92,0.00,0.92,0.92,0.92,0.36,0.09,0.46,0.36,0.46,Matches,08eb3b58
518,Rúben Vinagre,pt POR,DFMF,Everton,24-018,1999,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b937e490
519,Carlos Vinícius,br BRA,FW,Fulham,28-033,1995,23,7,776,8.6,2,1,3,2,0,0,3,0,1.7,1.7,0.6,2.3,4,9,33,0.23,0.12,0.35,0.23,0.35,0.19,0.07,0.26,0.19,0.26,Matches,8b529245
520,Theo Walcott,eng ENG,FWMF,Southampton,34-042,1989,14,8,755,8.4,2,1,3,2,0,0,1,0,1.8,1.8,1.1,3.0,12,6,48,0.24,0.12,0.36,0.24,0.36,0.22,0.14,0.35,0.22,0.35,Matches,1ecb65be
