,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-137,1994,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-297,1999,13.3,23,14,15,5,3,16,25,64.0,9,9,3,6,20,43,44,1,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-098,1995,3.6,8,6,6,2,0,6,8,75.0,2,5,4,1,7,15,10,1,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-128,1996,13.8,21,17,12,8,1,13,24,54.2,11,20,1,19,17,38,21,0,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-065,1995,16.4,31,21,10,21,0,13,38,34.2,25,14,2,12,23,54,16,0,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-190,2003,2.6,11,6,6,5,0,2,4,50.0,2,4,0,4,4,15,1,0,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-080,2005,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-023,1991,18.2,27,16,13,9,5,14,23,60.9,9,22,4,18,19,46,34,0,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-062,1993,21.9,14,9,8,6,0,7,15,46.7,8,20,16,4,14,28,85,3,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-186,1989,5.5,18,13,12,6,0,5,8,62.5,3,3,0,3,3,21,9,0,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-199,1988,17.9,35,26,21,10,4,19,29,65.5,10,14,7,7,21,56,58,2,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-363,2001,17.6,25,14,18,7,0,14,23,60.9,9,26,21,5,21,46,72,0,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-061,2003,8.9,3,3,1,2,0,2,6,33.3,4,3,1,2,9,12,22,1,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-084,1997,17.4,36,22,9,22,5,17,36,47.2,19,25,9,16,21,57,27,0,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-009,1991,10.6,8,4,4,4,0,5,7,71.4,2,16,11,5,12,20,51,0,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-241,1991,14.5,34,22,25,8,1,19,30,63.3,11,12,6,6,31,65,54,3,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-213,1996,1.8,5,2,3,0,2,3,3,100.0,0,2,0,2,1,6,0,0,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-203,1988,11.3,3,1,3,0,0,2,7,28.6,5,6,1,5,2,5,16,0,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-249,1992,20.1,47,25,31,11,5,30,42,71.4,12,23,5,18,33,80,56,0,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-320,1992,8.8,19,14,8,8,3,9,15,60.0,6,11,1,10,4,23,2,0,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-034,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-134,1989,21.6,19,9,11,7,1,10,25,40.0,15,19,9,10,25,44,49,0,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-280,1998,18.6,66,33,40,15,11,30,60,50.0,30,28,8,20,16,82,48,1,Matches,1daec722
