,,,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
497,Youri Tielemans,be BEL,MF,Leicester City,25-356,1997,21.4,55,33,23,24,8,23,54,42.6,31,32,6,26,22,77,19,1,Matches,56f7a928
498,Kieran Tierney,sct SCO,DF,Arsenal,25-327,1997,6.9,14,8,8,5,1,7,9,77.8,2,7,2,5,9,23,19,0,Matches,fce2302c
499,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-252,1995,9.8,16,8,10,4,2,10,14,71.4,4,16,8,8,9,25,29,0,Matches,a105d46a
500,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-174,1998,7.4,27,18,12,10,5,13,18,72.2,5,7,0,7,14,41,15,1,Matches,b3af9be1
501,James Tomkins,eng ENG,DF,Crystal Palace,34-030,1989,3.8,4,2,2,1,1,1,3,33.3,2,3,2,1,5,9,19,0,Matches,e7ca0439
502,Ivan Toney,eng ENG,FW,Brentford,27-043,1996,30.8,22,12,4,9,9,7,22,31.8,15,24,9,15,13,35,34,0,Matches,e09f279b
503,Adama Traoré,es ESP,FWMF,Wolves,27-093,1996,14.3,12,6,5,4,3,3,7,42.9,4,7,1,6,3,15,10,0,Matches,9a28eba4
504,Bertrand Traoré,bf BFA,FW,Aston Villa,27-234,1995,1.8,0,0,0,0,0,0,1,0.0,1,3,0,3,1,1,0,0,Matches,c47541e0
505,Boubacar Traoré,ml MLI,MF,Wolves,21-251,2001,4.3,10,4,4,3,3,2,6,33.3,4,4,2,2,7,17,1,0,Matches,999ceb5f
506,Mark Travers,ie IRL,GK,Bournemouth,23-345,1999,10.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,6,0,Matches,fe558029
507,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-221,1990,31.1,62,46,30,26,6,39,76,51.3,37,34,12,22,37,99,73,2,Matches,21512407
508,Leandro Trossard,be BEL,FW,Arsenal,28-145,1994,7.1,7,5,2,1,4,4,10,40.0,6,12,0,12,4,11,0,0,Matches,38ceb24a
509,Leandro Trossard,be BEL,FWMF,Brighton,28-145,1994,14.6,10,6,7,1,2,1,8,12.5,7,17,0,17,6,16,1,0,Matches,38ceb24a
510,Kostas Tsimikas,gr GRE,DF,Liverpool,26-351,1996,6.9,13,8,9,2,2,9,14,64.3,5,8,1,7,7,20,13,0,Matches,f315ca93
511,Deniz Undav,de GER,FWMF,Brighton,26-283,1996,3.0,4,3,2,1,1,1,1,100.0,0,1,0,1,0,4,1,0,Matches,dd549382
512,Yan Valery,tn TUN,DF,Southampton,24-065,1999,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches,531a4aa8
513,Virgil van Dijk,nl NED,DF,Liverpool,31-294,1991,26.5,24,13,13,10,1,8,17,47.1,9,21,13,8,28,52,111,2,Matches,e06683ca
514,Raphaël Varane,fr FRA,DF,Manchester Utd,30-003,1993,18.3,23,8,17,6,0,6,16,37.5,10,23,16,7,10,33,81,0,Matches,9f8e9423
515,Jamie Vardy,eng ENG,FW,Leicester City,36-107,1987,17.0,9,4,4,2,3,1,6,16.7,5,13,2,11,2,11,24,0,Matches,45963054
516,Joël Veltman,nl NED,DF,Brighton,31-103,1992,22.1,58,31,43,12,3,35,53,66.0,18,27,8,19,19,77,48,0,Matches,dad4b285
517,Fabio Vieira,pt POR,MF,Arsenal,22-333,2000,5.3,6,4,3,0,3,3,5,60.0,2,5,0,5,4,10,1,0,Matches,6412cc03
518,Matías Viña,uy URU,DFMF,Bournemouth,25-170,1997,2.1,8,5,4,3,1,6,12,50.0,6,7,0,7,2,10,10,0,Matches,08eb3b58
519,Rúben Vinagre,pt POR,DFMF,Everton,24-019,1999,0.3,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches,b937e490
520,Carlos Vinícius,br BRA,FW,Fulham,28-034,1995,8.6,2,0,0,2,0,0,4,0.0,4,4,0,4,0,2,6,0,Matches,8b529245
521,Theo Walcott,eng ENG,FWMF,Southampton,34-043,1989,9.1,8,3,5,2,1,7,21,33.3,14,6,1,5,8,16,5,0,Matches,1ecb65be
522,Kyle Walker,eng ENG,DF,Manchester City,32-335,1990,15.3,11,7,6,5,0,3,20,15.0,17,9,2,7,13,24,11,0,Matches,86dd77d1
523,Kyle Walker-Peters,eng ENG,DF,Southampton,26-015,1997,24.4,51,28,28,20,3,18,32,56.3,14,39,8,31,21,72,44,0,Matches,984a5a64
524,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-153,1997,11.0,27,19,16,11,0,18,19,94.7,1,17,4,13,17,44,31,0,Matches,9e525177
525,Danny Ward,wls WAL,GK,Leicester City,29-310,1993,26.0,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,14,2,Matches,d3ce0e89
526,Joel Ward,eng ENG,DF,Crystal Palace,33-181,1989,20.1,34,24,21,6,7,19,28,67.9,9,28,15,13,21,55,66,1,Matches,8a7ff278
527,James Ward-Prowse,eng ENG,MF,Southampton,28-178,1994,32.5,57,31,25,25,7,19,53,35.8,34,22,5,17,47,104,40,0,Matches,3515d404
528,Ollie Watkins,eng ENG,FW,Aston Villa,27-119,1995,29.8,16,11,3,10,3,8,23,34.8,15,21,4,17,8,24,33,0,Matches,aed3a70f
529,Adam Webster,eng ENG,DF,Brighton,28-114,1995,18.8,18,11,9,6,3,8,13,61.5,5,26,16,10,17,35,48,4,Matches,c40b6180
530,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-264,1992,7.4,7,4,5,0,2,1,5,20.0,4,6,2,4,7,14,7,0,Matches,c4e87b8b
531,Danny Welbeck,eng ENG,FW,Brighton,32-153,1990,16.6,13,6,0,6,7,4,9,44.4,5,18,1,17,3,16,14,0,Matches,ce5143da
532,Ben White,eng ENG,DF,Arsenal,25-202,1997,28.9,54,30,21,27,6,36,60,60.0,24,40,9,31,20,74,72,0,Matches,35e413f1
533,Harvey White,eng ENG,MF,Tottenham,21-221,2001,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,4d90ce8c
534,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-058,2004,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,3f847d95
535,Neco Williams,wls WAL,DF,Nott'ham Forest,22-015,2001,20.9,72,47,49,17,6,38,71,53.5,33,33,8,25,33,105,48,0,Matches,dd323728
536,Willian,br BRA,FW,Fulham,34-262,1988,19.0,12,7,7,3,2,7,20,35.0,13,10,0,10,9,21,6,0,Matches,8b9ebd03
537,Joe Willock,eng ENG,MF,Newcastle Utd,23-251,1999,25.0,47,27,11,24,12,25,52,48.1,27,49,8,41,22,69,16,0,Matches,a3b03921
538,Callum Wilson,eng ENG,FW,Newcastle Utd,31-060,1992,16.7,8,2,0,7,1,0,1,0.0,1,5,0,5,1,9,4,0,Matches,c596fcb0
539,Harry Wilson,wls WAL,FW,Fulham,26-037,1997,7.3,17,11,7,8,2,7,15,46.7,8,11,1,10,4,21,10,0,Matches,c6dc9ecd
540,Yoane Wissa,cd COD,FW,Brentford,26-237,1996,14.7,14,9,3,7,4,6,11,54.5,5,9,0,9,6,20,14,0,Matches,2500cef9
541,Maximilian Wöber,at AUT,DF,Leeds United,25-083,1998,9.8,19,14,7,12,0,13,19,68.4,6,16,10,6,18,37,44,1,Matches,4b803b3c
542,Chris Wood,nz NZL,FW,Newcastle Utd,31-142,1991,5.0,5,4,0,3,2,3,5,60.0,2,2,2,0,1,6,7,0,Matches,4e9a0555
543,Chris Wood,nz NZL,FW,Nott'ham Forest,31-142,1991,4.1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0,Matches,4e9a0555
544,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-108,1997,20.4,41,18,30,9,2,19,26,73.1,7,28,19,9,21,62,93,1,Matches,a5212312
545,Granit Xhaka,ch SUI,MF,Arsenal,30-213,1992,29.1,30,24,10,15,5,14,33,42.4,19,25,9,16,13,43,38,1,Matches,e61b8aee
546,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-158,1997,16.6,28,15,12,13,3,12,18,66.7,6,22,8,14,8,36,37,0,Matches,c1fe2a48
547,Ashley Young,eng ENG,DF,Aston Villa,37-293,1985,19.8,42,22,29,12,1,30,39,76.9,9,23,10,13,17,59,58,0,Matches,be927d03
548,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-239,2002,0.3,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,2,0,Matches,88968486
549,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-169,1992,22.9,30,18,12,11,7,8,20,40.0,12,20,1,19,15,45,8,0,Matches,b2bc3b1f
550,Denis Zakaria,ch SUI,MF,Chelsea,26-159,1996,4.6,9,5,5,2,2,2,8,25.0,6,4,1,3,3,12,10,0,Matches,384d58d9
551,Jordan Zemura,zw ZIM,DF,Bournemouth,23-165,1999,16.2,39,24,24,14,1,23,43,53.5,20,31,9,22,16,55,32,0,Matches,e8271ad9
552,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-134,1996,22.1,37,16,14,15,8,21,38,55.3,17,19,2,17,20,57,33,2,Matches,51cf8561
553,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-040,1993,6.7,18,10,11,5,2,4,9,44.4,5,7,0,7,4,22,5,1,Matches,6622454d
554,Kurt Zouma,fr FRA,DF,West Ham,28-183,1994,21.4,9,4,4,5,0,5,8,62.5,3,17,14,3,30,39,118,0,Matches,ce4246f5
555,Martin Ødegaard,no NOR,MF,Arsenal,24-132,1998,30.2,32,20,11,13,8,11,36,30.6,25,17,5,12,5,37,8,0,Matches,79300479
