,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,-9999,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Live,Succ,Succ%,Tkld,Tkld%,Carries,CPA,Mis,Dis,Rec
862,Noni Madueke,ENG,FWDF,Chelsea,21,2002,6,2,228,2.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,12,11,34,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.22,0.12,0.22,Matches,bf34eebd,5,2,40.0,1.97,0.79,0.0,0.0,16.5,0,0.06,-0.3,-0.3,83,104,79.8,1114,238,52,60,86.7,22,30,73.3,5,6,83.3,0.2,-0.3,7,6,3,0,9,3.55,6,0,2,0,0,0,0.0,0,0,0,0,0,0,4,4,2,2,0,2,66.7,1,10,9,1,5,1,0,149,1,13,149,12,50.0,9,37.5,102,4,6,5,113
863,Harry Maguire,ENG,DF,Manchester Utd,30,1993,13,7,662,7.4,0,0,0,0,0,0,4,0,0.3,0.3,0.0,0.4,8,24,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.05,0.04,0.05,Matches,d8931174,2,0,0.0,0.27,0.0,0.0,,7.2,0,0.16,-0.3,-0.3,438,512,85.5,8817,2620,134,148,90.5,243,269,90.3,54,85,63.5,0.1,0.0,1,29,0,0,5,0.68,5,0,0,0,0,1,0.14,1,0,0,0,0,0,7,5,6,0,1,4,80.0,1,17,6,10,17,35,0,593,62,8,593,2,66.7,1,33.3,375,1,1,0,399
864,Riyad Mahrez,ALG,FWMF,Manchester City,32,1991,23,15,1315,14.6,5,5,10,4,1,1,2,0,5.2,4.4,4.9,9.2,57,60,179,0.34,0.34,0.68,0.27,0.62,0.35,0.33,0.69,0.3,0.63,Matches,892d5bb1,35,10,28.6,2.4,0.68,0.11,0.4,16.7,4,0.12,-0.2,-0.4,671,811,82.7,11133,2026,351,392,89.5,247,287,86.1,62,101,61.4,3.4,0.1,35,29,28,6,78,5.33,51,10,4,4,1,13,0.89,7,1,1,3,0,1,16,8,3,6,7,9,36.0,16,19,19,5,21,2,0,966,4,84,965,16,30.8,19,36.5,646,31,23,13,731
865,Kobbie Mainoo,ENG,MF,Manchester Utd,18,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,c6220452,0,0,,0.0,0.0,,,,0,,0.0,0.0,7,8,87.5,83,31,5,6,83.3,2,2,100.0,0,0,,0.1,0.0,0,1,1,0,2,16.36,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,11,0,3,11,0,0.0,1,100.0,5,0,0,0,6
866,Ainsley Maitland-Niles,ENG,DFMF,Southampton,25,1997,18,11,1160,12.9,0,0,0,0,0,0,3,0,0.0,0.0,0.6,0.6,11,45,21,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,e3a5814e,1,1,100.0,0.07,0.07,0.0,0.0,31.4,0,0.02,0.0,0.0,477,607,78.6,7987,2834,238,279,85.3,183,222,82.4,44,71,62.0,0.7,-0.6,8,49,10,4,22,1.63,20,0,1,1,0,2,0.15,1,0,0,0,1,0,43,23,22,18,3,28,68.3,13,23,18,20,63,39,0,782,61,7,782,13,72.2,5,27.8,344,2,20,12,428
867,Tyrell Malacia,NED,DF,Manchester Utd,23,1999,17,11,1064,11.8,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.6,18,30,26,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,6b6c793c,5,2,40.0,0.42,0.17,0.0,0.0,22.1,0,0.05,-0.2,-0.2,513,603,85.1,7378,2236,328,353,92.9,136,158,86.1,27,49,55.1,0.5,-0.3,4,31,3,0,11,0.91,11,0,0,0,0,0,0.0,0,0,0,0,0,0,38,28,29,8,1,10,52.6,9,12,9,20,58,43,0,764,45,11,764,4,23.5,13,76.5,369,3,16,5,413
868,Orel Mangala,BEL,MF,Nott'ham Forest,25,1998,22,15,1129,12.5,1,0,1,1,0,0,3,0,0.6,0.6,0.1,0.7,12,32,7,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.05,0.05,0.05,Matches,a572e291,9,3,33.3,0.72,0.24,0.11,0.33,20.7,0,0.06,0.4,0.4,322,402,80.1,4889,1300,173,195,88.7,122,146,83.6,17,34,50.0,0.1,-0.1,2,29,2,0,10,0.8,9,0,0,1,0,0,0.0,0,0,0,0,0,0,20,13,12,6,2,9,40.9,13,16,11,16,36,10,0,512,23,8,512,14,50.0,10,35.7,273,2,10,7,307
869,Javier Manquillo,ESP,DF,Newcastle Utd,28,1994,3,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,758dd7f0,0,0,,0.0,0.0,,,,0,,0.0,0.0,23,27,85.2,381,114,13,14,92.9,8,10,80.0,2,2,100.0,0.0,0.0,0,1,0,0,1,2.5,0,0,0,0,1,1,2.5,0,0,0,0,0,1,3,2,2,1,0,2,100.0,0,1,1,1,4,1,0,34,2,1,34,0,,0,,19,0,0,0,20
870,Sekou Mara,FRA,FWMF,Southampton,20,2002,21,4,526,5.8,1,2,3,1,0,0,1,0,1.0,1.0,0.8,1.8,7,7,26,0.17,0.34,0.51,0.17,0.51,0.18,0.13,0.31,0.18,0.31,Matches,3544641e,17,4,23.5,2.91,0.68,0.06,0.25,16.2,0,0.06,0.0,0.0,66,101,65.3,858,162,42,55,76.4,14,17,82.4,4,7,57.1,0.3,1.2,6,6,2,0,12,2.06,8,0,3,0,1,3,0.51,2,0,1,0,0,0,14,10,5,8,1,3,33.3,6,11,11,1,15,5,0,215,5,24,215,13,44.8,16,55.2,125,2,28,18,145
871,Solly March,ENG,FWDF,Brighton,28,1994,30,30,2600,28.9,7,7,14,7,0,0,2,0,7.7,7.7,8.0,15.8,103,130,331,0.24,0.24,0.48,0.24,0.48,0.27,0.28,0.55,0.27,0.55,Matches,bb5fbd2b,70,30,42.9,2.42,1.04,0.1,0.23,16.2,1,0.11,-0.7,-0.7,907,1252,72.4,16282,3830,423,502,84.3,350,459,76.3,107,196,54.6,6.1,-1.0,61,62,47,14,130,4.5,85,14,16,4,2,14,0.48,10,1,1,2,0,0,50,28,16,15,19,7,25.9,20,33,30,22,72,29,0,1581,43,130,1581,51,50.0,33,32.4,974,43,52,30,1073
