,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
54,Rodrigo Bentancur,uy URU,MF,Tottenham,25-307,1997,16.7,5,15,9,60.0,0.90,0.54,0.33,0.56,15.8,0,0,0,2.2,2.2,0.15,+2.8,+2.8,Matches,3b8674e6
55,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-133,2002,9.0,0,3,0,0.0,0.33,0.00,0.00,,18.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,505486d6
56,Owen Bevan,wls WAL,DF,Bournemouth,19-184,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,87966294
57,Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-028,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,de40e38c
58,Philip Billing,dk DEN,MFFW,Bournemouth,26-321,1996,27.5,7,35,17,48.6,1.27,0.62,0.20,0.41,19.1,5,0,0,4.1,4.1,0.12,+2.9,+2.9,Matches,d328a254
59,Yves Bissouma,ml MLI,MF,Tottenham,26-241,1996,9.0,0,5,0,0.0,0.55,0.00,0.00,,26.2,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,6c203af0
60,Willy Boly,ci CIV,DF,Nott'ham Forest,32-084,1991,6.6,0,1,0,0.0,0.15,0.00,0.00,,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,a4ac4b8f
61,Sven Botman,nl NED,DF,Newcastle Utd,23-106,2000,28.7,0,17,5,29.4,0.59,0.17,0.00,0.00,11.2,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches,ccce7025
62,Jarrod Bowen,eng ENG,FWMF,West Ham,26-129,1996,31.7,5,66,16,24.2,2.08,0.50,0.06,0.25,16.7,1,1,2,7.9,6.9,0.10,-2.9,-2.9,Matches,79c84d1c
63,James Bree,eng ENG,DF,Southampton,25-199,1997,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c07b7c5c
64,Armando Broja,al ALB,FW,Chelsea,21-230,2001,3.3,1,6,5,83.3,1.84,1.53,0.17,0.20,11.0,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches,97220da2
65,David Brooks,wls WAL,DFFW,Bournemouth,25-294,1997,0.3,0,1,0,0.0,2.90,0.00,0.00,,16.4,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,dc4cae05
66,Lewis Brunt,eng ENG,DF,Leicester City,22-173,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2081c6b
67,Bryan,es ESP,MFFW,Tottenham,22-076,2001,1.6,0,2,1,50.0,1.22,0.61,0.00,0.00,19.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7b5ab7f2
68,Emi Buendía,ar ARG,MFFW,Aston Villa,26-124,1996,23.8,5,41,9,22.0,1.72,0.38,0.12,0.56,15.9,1,0,0,5.7,5.7,0.14,-0.7,-0.7,Matches,66b76d44
69,Hugo Bueno,es ESP,DF,Wolves,20-222,2002,12.7,0,4,1,25.0,0.31,0.08,0.00,0.00,18.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,bfc3b3a0
70,Facundo Buonanotte,ar ARG,MFFW,Brighton,18-126,2004,1.6,1,3,1,33.3,1.86,0.62,0.33,1.00,13.9,0,0,0,0.9,0.9,0.28,+0.1,+0.1,Matches,468a7a91
71,Dan Burn,eng ENG,DF,Newcastle Utd,30-354,1992,29.5,0,15,3,20.0,0.51,0.10,0.00,0.00,11.0,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches,b2d31e83
72,Cafú,pt POR,MF,Nott'ham Forest,30-061,1993,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-177,2001,28.1,1,20,7,35.0,0.71,0.25,0.05,0.14,23.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-098,1991,6.4,0,12,0,0.0,1.87,0.00,0.00,,19.8,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,a8748947
