,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
395,Ivan Perišić,hr CRO,DFMF,Tottenham,34-085,1989,22.4,1,29,8,27.6,1.30,0.36,0.03,0.13,15.3,2,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches,6fe90922
396,Romain Perraud,fr FRA,DF,Southampton,25-218,1997,20.4,2,30,6,20.0,1.47,0.29,0.07,0.33,22.3,0,0,0,1.3,1.3,0.04,+0.7,+0.7,Matches,6dfd8f05
397,Máximo Perrone,ar ARG,MF,Manchester City,20-111,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53552942
398,Kalvin Phillips,eng ENG,MF,Manchester City,27-147,1995,1.2,0,2,0,0.0,1.65,0.00,0.00,,21.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,4f565d77
399,Nathaniel Phillips,eng ENG,DF,Liverpool,26-038,1997,0.7,0,1,0,0.0,1.36,0.00,0.00,,10.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,515ebe8d
400,Jordan Pickford,eng ENG,GK,Everton,29-052,1994,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4806ec67
401,Ethan Pinnock,jm JAM,DF,Brentford,29-334,1993,25.0,2,11,5,45.5,0.44,0.20,0.18,0.40,8.3,0,0,0,2.6,2.6,0.24,-0.6,-0.6,Matches,e541326e
402,Daniel Podence,pt POR,FWMF,Wolves,27-189,1995,18.1,6,39,16,41.0,2.16,0.89,0.15,0.38,16.6,0,0,0,3.5,3.5,0.09,+2.5,+2.5,Matches,7fcc71d8
403,Nick Pope,eng ENG,GK,Newcastle Utd,31-009,1992,31.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4b40d9ca
404,Pedro Porro,es ESP,DF,Tottenham,23-227,1999,8.5,2,17,3,17.6,1.99,0.35,0.12,0.67,18.9,1,0,0,1.3,1.3,0.08,+0.7,+0.7,Matches,27d0a506
405,Dennis Praet,be BEL,MFFW,Leicester City,28-349,1994,6.7,1,5,2,40.0,0.75,0.30,0.20,0.50,13.6,0,0,0,1.0,1.0,0.20,0.0,0.0,Matches,86695068
406,Isaac Price,nir NIR,MF,Everton,19-214,2003,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b9403c99
407,Christian Pulisic,us USA,FWDF,Chelsea,24-222,1998,8.7,1,17,5,29.4,1.95,0.57,0.06,0.20,16.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches,1bf33a9a
408,Aaron Ramsdale,eng ENG,GK,Arsenal,24-349,1998,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,466fb2c5
409,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-335,2001,24.3,4,26,9,34.6,1.07,0.37,0.15,0.44,17.3,0,0,0,3.2,3.2,0.12,+0.8,+0.8,Matches,1544f145
410,Marcus Rashford,eng ENG,FW,Manchester Utd,25-179,1997,27.5,16,84,39,46.4,3.05,1.42,0.19,0.41,15.7,5,0,0,12.5,12.5,0.15,+3.5,+3.5,Matches,a1d5bd30
411,David Raya,es ESP,GK,Brentford,27-225,1995,33.0,0,1,0,0.0,0.03,0.00,0.00,,9.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,98ea5115
412,Tim Ream,us USA,DF,Fulham,35-205,1987,32.0,1,3,2,66.7,0.09,0.06,0.33,0.50,9.8,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches,28b40c9c
413,Nathan Redmond,eng ENG,DF,Southampton,29-053,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ab651565
414,Harrison Reed,eng ENG,MF,Fulham,28-091,1995,27.7,3,18,6,33.3,0.65,0.22,0.17,0.50,20.9,0,0,0,1.6,1.6,0.09,+1.4,+1.4,Matches,803ae100
415,Bobby Reid,jm JAM,FWDF,Fulham,30-085,1993,26.0,4,29,10,34.5,1.12,0.38,0.14,0.40,13.2,0,0,0,3.8,3.8,0.13,+0.2,+0.2,Matches,0f7533cd
416,Declan Rice,eng ENG,MF,West Ham,24-104,1999,32.0,3,31,7,22.6,0.97,0.22,0.10,0.43,24.1,1,0,1,2.1,1.3,0.04,+0.9,+1.7,Matches,1c7012b8
417,Chris Richards,us USA,DF,Crystal Palace,23-031,2000,5.0,0,4,0,0.0,0.81,0.00,0.00,,9.1,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches,0a3d6d2b
418,Richarlison,br BRA,MFFW,Tottenham,25-353,1997,9.3,0,21,8,38.1,2.27,0.86,0.00,0.00,13.4,0,0,0,2.4,2.4,0.12,-2.4,-2.4,Matches,fa031b34
419,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-231,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a1f2c08
420,Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-230,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,71ef519e
421,Andrew Robertson,sct SCO,DF,Liverpool,29-048,1994,24.7,0,13,2,15.4,0.53,0.08,0.00,0.00,14.5,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches,2e4f5f03
422,Antonee Robinson,us USA,DF,Fulham,25-263,1997,28.3,0,3,0,0.0,0.11,0.00,0.00,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,289601e6
423,Marc Roca,es ESP,MF,Leeds United,26-153,1996,24.0,1,31,11,35.5,1.29,0.46,0.03,0.09,22.5,3,0,0,1.8,1.8,0.06,-0.8,-0.8,Matches,da27e268
424,Marek Rodák,sk SVK,GK,Fulham,26-136,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,17acc2ed
425,Rodri,es ESP,MF,Manchester City,26-310,1996,28.2,2,46,12,26.1,1.63,0.43,0.04,0.17,17.2,0,0,0,4.2,4.2,0.09,-2.2,-2.2,Matches,6434f10d
426,Rodrigo,es ESP,FWMF,Leeds United,32-053,1991,17.9,11,60,22,36.7,3.34,1.23,0.17,0.45,16.1,2,1,1,7.5,6.7,0.11,+3.5,+3.3,Matches,1fb1c435
427,Mads Roerslev,dk DEN,DF,Brentford,23-308,1999,12.2,0,3,0,0.0,0.25,0.00,0.00,,14.8,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,57c94db2
428,Cristian Romero,ar ARG,DF,Tottenham,25-001,1998,23.3,0,8,2,25.0,0.34,0.09,0.00,0.00,14.0,0,0,0,0.8,0.8,0.10,-0.8,-0.8,Matches,a3d94a58
429,Oriol Romeu,es ESP,MF,Southampton,31-216,1991,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4b511457
430,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-082,1985,5.8,1,25,6,24.0,4.29,1.03,0.04,0.17,17.7,1,0,0,1.9,1.9,0.08,-0.9,-0.9,Matches,dea698d9
431,Connor Ronan,ie IRL,MF,Wolves,25-053,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1b804500
432,Salomón Rondón,ve VEN,FW,Everton,33-224,1989,1.2,0,4,1,25.0,3.30,0.83,0.00,0.00,19.3,0,0,0,0.8,0.8,0.20,-0.8,-0.8,Matches,b318a643
433,Joe Rothwell,eng ENG,MF,Bournemouth,28-107,1995,9.0,0,3,2,66.7,0.33,0.22,0.00,0.00,24.1,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,10a10454
434,Georginio Rutter,fr FRA,FWMF,Leeds United,21-008,2002,2.7,0,3,0,0.0,1.12,0.00,0.00,,13.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches,c64c01fc
435,José Sá,pt POR,GK,Wolves,30-101,1993,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,903b6e8b
436,Marcel Sabitzer,at AUT,MF,Manchester Utd,29-042,1994,5.7,0,9,3,33.3,1.59,0.53,0.00,0.00,18.6,1,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,e280527c
437,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,26-047,1997,11.1,1,25,9,36.0,2.26,0.81,0.04,0.11,17.5,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches,2b16cb1a
438,Bukayo Saka,eng ENG,FW,Arsenal,21-235,2001,30.9,13,73,23,31.5,2.36,0.74,0.15,0.48,16.1,1,2,3,10.1,8.0,0.11,+2.9,+3.0,Matches,bc7dc64d
439,Mohamed Salah,eg EGY,FW,Liverpool,30-317,1992,30.7,16,99,40,40.4,3.23,1.30,0.16,0.40,14.9,2,0,2,16.4,14.8,0.15,-0.4,+1.2,Matches,e342ad68
440,William Saliba,fr FRA,DF,Arsenal,22-035,2001,26.8,2,6,3,50.0,0.22,0.11,0.33,0.67,13.8,0,0,0,0.9,0.9,0.15,+1.1,+1.1,Matches,972aeb2a
441,Mohammed Salisu,gh GHA,DF,Southampton,24-011,1999,21.9,0,19,4,21.1,0.87,0.18,0.00,0.00,12.2,0,0,0,1.5,1.5,0.08,-1.5,-1.5,Matches,0b33f6ad
442,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-188,1999,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1b4f1169
443,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-188,1999,6.0,0,2,1,50.0,0.34,0.17,0.00,0.00,17.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,1b4f1169
444,Davinson Sánchez,co COL,DF,Tottenham,26-320,1996,7.5,0,4,2,50.0,0.53,0.27,0.00,0.00,13.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,da7b447d
445,Robert Sánchez,es ESP,GK,Brighton,25-161,1997,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6a713852
446,Jadon Sancho,eng ENG,FWMF,Manchester Utd,23-034,2000,13.9,5,17,7,41.2,1.23,0.50,0.29,0.71,14.4,0,0,0,3.3,3.3,0.20,+1.7,+1.7,Matches,dbf053da
447,Morgan Sanson,fr FRA,MF,Aston Villa,28-253,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6e7f1353
448,Pablo Sarabia,es ESP,FWMF,Wolves,30-352,1992,7.7,1,18,5,27.8,2.33,0.65,0.06,0.20,14.6,1,0,0,2.9,2.9,0.16,-1.9,-1.9,Matches,9744ff80
449,Jeremy Sarmiento,ec ECU,MF,Brighton,20-316,2002,2.0,0,5,2,40.0,2.56,1.02,0.00,0.00,20.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,ac0d576d
450,Gianluca Scamacca,it ITA,FW,West Ham,24-117,1999,10.3,3,30,10,33.3,2.92,0.97,0.10,0.30,18.7,1,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches,8790f988
451,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-113,1994,2.0,0,7,1,14.3,3.48,0.50,0.00,0.00,26.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,2964fd20
452,Kevin Schade,de GER,FW,Brentford,21-152,2001,5.1,0,9,2,22.2,1.78,0.40,0.00,0.00,12.3,0,0,0,1.9,1.9,0.22,-1.9,-1.9,Matches,52afb588
453,Fabian Schär,ch SUI,DF,Newcastle Utd,31-129,1991,29.6,1,44,10,22.7,1.49,0.34,0.02,0.10,13.8,2,0,0,3.8,3.8,0.09,-2.8,-2.8,Matches,c8aa95da
454,Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,30-126,1992,26.3,2,24,7,29.2,0.91,0.27,0.08,0.29,17.3,0,0,0,2.7,2.7,0.11,-0.7,-0.7,Matches,3312f911
455,Nélson Semedo,pt POR,DF,Wolves,29-163,1993,24.8,0,6,0,0.0,0.24,0.00,0.00,,20.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,d04b94db
456,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-111,2000,2.7,0,2,0,0.0,0.74,0.00,0.00,,18.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,efd2ec23
457,Marcos Senesi,ar ARG,DF,Bournemouth,25-353,1997,23.7,2,6,2,33.3,0.25,0.08,0.33,1.00,6.7,0,0,0,1.5,1.5,0.25,+0.5,+0.5,Matches,35141f4c
458,Ryan Sessegnon,eng ENG,DF,Tottenham,22-345,2000,9.0,2,18,6,33.3,1.99,0.66,0.11,0.33,14.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches,6aa3e78b
459,Luke Shaw,eng ENG,DF,Manchester Utd,27-290,1995,22.9,1,11,4,36.4,0.48,0.18,0.09,0.25,18.3,1,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,9c94165b
460,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,31-060,1992,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3727dd3c
461,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,31-060,1992,6.0,0,6,0,0.0,1.00,0.00,0.00,,24.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,3727dd3c
462,Bernardo Silva,pt POR,MFFW,Manchester City,28-261,1994,22.3,4,25,9,36.0,1.12,0.40,0.16,0.44,18.1,0,0,0,2.2,2.2,0.09,+1.8,+1.8,Matches,3eb22ec9
463,Thiago Silva,br BRA,DF,Chelsea,38-218,1984,21.1,0,13,2,15.4,0.62,0.09,0.00,0.00,13.5,0,0,0,1.2,1.2,0.09,-1.2,-1.2,Matches,86e7deaf
464,Ellis Simms,eng ENG,FW,Everton,22-113,2001,2.5,1,8,1,12.5,3.21,0.40,0.13,1.00,16.1,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches,26d3b5be
465,Luis Sinisterra,co COL,FW,Leeds United,23-315,1999,9.6,5,28,11,39.3,2.91,1.14,0.18,0.45,16.2,0,0,0,3.7,3.7,0.13,+1.3,+1.3,Matches,8e16dd48
466,Oliver Skipp,eng ENG,MF,Tottenham,22-224,2000,12.0,1,7,3,42.9,0.58,0.25,0.14,0.33,23.2,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches,6250083a
467,Adam Smith,eng ENG,DF,Bournemouth,31-364,1991,28.7,0,5,1,20.0,0.17,0.03,0.00,0.00,16.2,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches,20b104bc
468,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-274,2000,1.6,0,4,1,25.0,2.54,0.63,0.00,0.00,15.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,17695062
469,Cédric Soares,pt POR,DF,Arsenal,31-240,1991,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,839c14e1
470,Cédric Soares,pt POR,DF,Fulham,31-240,1991,1.2,0,1,0,0.0,0.83,0.00,0.00,,24.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,839c14e1
471,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-226,1997,26.8,5,69,26,37.7,2.57,0.97,0.07,0.19,12.9,0,0,0,8.3,8.3,0.12,-3.3,-3.3,Matches,e77dc3b2
472,Manor Solomon,il ISR,FW,Fulham,23-278,1999,5.4,4,7,5,71.4,1.29,0.92,0.57,0.80,18.2,0,0,0,1.0,1.0,0.15,+3.0,+3.0,Matches,886f9aac
473,Tomáš Souček,cz CZE,MF,West Ham,28-060,1995,27.6,1,27,8,29.6,0.98,0.29,0.04,0.13,10.8,0,0,0,3.2,3.2,0.12,-2.2,-2.2,Matches,6613c819
474,Boubakary Soumaré,fr FRA,MF,Leicester City,24-060,1999,13.3,0,1,0,0.0,0.08,0.00,0.00,,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ae59b359
475,Harry Souttar,au AUS,DF,Leicester City,24-188,1998,10.0,0,8,1,12.5,0.80,0.10,0.00,0.00,9.6,0,0,0,1.4,1.4,0.18,-1.4,-1.4,Matches,0a6cb1b1
476,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-340,1996,3.9,0,4,1,25.0,1.03,0.26,0.00,0.00,9.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,21166ff4
477,Djed Spence,eng ENG,FWDF,Tottenham,22-262,2000,0.1,0,1,0,0.0,12.86,0.00,0.00,,8.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,9bc9a519
478,Jack Stacey,eng ENG,DF,Bournemouth,27-022,1996,3.3,0,1,0,0.0,0.30,0.00,0.00,,16.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,558807c0
479,Junior Stanislas,eng ENG,MF,Bournemouth,33-153,1989,0.7,0,1,0,0.0,1.48,0.00,0.00,,24.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,6992791d
480,Jay Stansfield,eng ENG,FW,Fulham,20-155,2002,1.0,0,2,0,0.0,2.07,0.00,0.00,,13.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,b2626673
481,Jason Steele,eng ENG,GK,Brighton,32-253,1990,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28300a16
482,Jack Stephens,eng ENG,DF,Southampton,29-091,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,6adbc307
483,Jack Stephens,eng ENG,DF,Bournemouth,29-091,1994,13.0,0,2,1,50.0,0.15,0.08,0.00,0.00,5.2,0,0,0,0.4,0.4,0.20,-0.4,-0.4,Matches,6adbc307
484,Raheem Sterling,eng ENG,FWMF,Chelsea,28-141,1994,17.2,4,30,11,36.7,1.75,0.64,0.13,0.36,13.0,0,0,0,4.6,4.6,0.16,-0.6,-0.6,Matches,b400bde0
485,John Stones,eng ENG,DFMF,Manchester City,28-335,1994,17.2,2,9,3,33.3,0.52,0.17,0.22,0.67,13.3,0,0,0,0.8,0.8,0.09,+1.2,+1.2,Matches,5eecec3d
486,Pascal Struijk,nl NED,DF,Leeds United,23-260,1999,22.7,2,14,7,50.0,0.62,0.31,0.14,0.29,12.6,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches,f4d296e4
487,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-072,2002,8.1,0,18,3,16.7,2.21,0.37,0.00,0.00,19.1,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,a62f8bf1
488,Crysencio Summerville,nl NED,FW,Leeds United,21-180,2001,14.2,4,25,9,36.0,1.76,0.63,0.16,0.44,15.0,0,0,0,2.6,2.6,0.10,+1.4,+1.4,Matches,df04eb4b
489,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-274,1998,3.5,1,9,2,22.2,2.60,0.58,0.11,0.50,11.6,0,0,0,1.8,1.8,0.20,-0.8,-0.8,Matches,b017b770
490,Japhet Tanganga,eng ENG,DF,Tottenham,24-028,1999,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9971f2d
491,Matt Targett,eng ENG,DF,Newcastle Utd,27-222,1995,5.8,0,1,0,0.0,0.17,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,e514ab62
492,James Tarkowski,eng ENG,DF,Everton,30-160,1992,33.0,1,25,7,28.0,0.76,0.21,0.04,0.14,9.1,0,0,0,2.5,2.5,0.10,-1.5,-1.5,Matches,15ea812b
493,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-037,1999,19.4,5,37,14,37.8,1.91,0.72,0.14,0.36,17.3,2,0,0,3.1,3.1,0.08,+1.9,+1.9,Matches,5c0da4a4
494,Tetê,br BRA,FW,Leicester City,23-072,2000,7.3,1,14,1,7.1,1.91,0.14,0.07,1.00,20.1,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,7120a04d
495,Kenny Tete,nl NED,DF,Fulham,27-201,1995,23.5,0,10,3,30.0,0.42,0.13,0.00,0.00,19.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,77d7c96f
496,Luke Thomas,eng ENG,DF,Leicester City,21-322,2001,8.5,0,2,0,0.0,0.23,0.00,0.00,,11.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,fc027d02
497,Youri Tielemans,be BEL,MF,Leicester City,25-356,1997,21.4,3,24,7,29.2,1.12,0.33,0.08,0.29,27.6,1,1,2,2.4,0.8,0.03,+0.6,+1.2,Matches,56f7a928
498,Kieran Tierney,sct SCO,DF,Arsenal,25-327,1997,6.9,0,6,2,33.3,0.87,0.29,0.00,0.00,24.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,fce2302c
499,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-252,1995,9.8,0,6,2,33.3,0.61,0.20,0.00,0.00,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,a105d46a
500,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-174,1998,7.4,0,3,0,0.0,0.41,0.00,0.00,,12.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,b3af9be1
501,James Tomkins,eng ENG,DF,Crystal Palace,34-030,1989,3.8,1,3,2,66.7,0.80,0.53,0.33,0.50,12.7,0,0,0,1.0,1.0,0.34,0.0,0.0,Matches,e7ca0439
502,Ivan Toney,eng ENG,FW,Brentford,27-043,1996,30.8,19,85,32,37.6,2.76,1.04,0.15,0.41,16.3,7,6,7,18.6,13.1,0.16,+0.4,-0.1,Matches,e09f279b
503,Adama Traoré,es ESP,FWMF,Wolves,27-093,1996,14.3,2,17,6,35.3,1.19,0.42,0.12,0.33,14.7,0,0,0,1.2,1.2,0.07,+0.8,+0.8,Matches,9a28eba4
504,Bertrand Traoré,bf BFA,FW,Aston Villa,27-234,1995,1.8,2,7,2,28.6,3.91,1.12,0.29,1.00,16.4,0,0,0,0.6,0.6,0.09,+1.4,+1.4,Matches,c47541e0
505,Boubacar Traoré,ml MLI,MF,Wolves,21-251,2001,4.3,0,3,0,0.0,0.70,0.00,0.00,,29.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,999ceb5f
506,Mark Travers,ie IRL,GK,Bournemouth,23-345,1999,10.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fe558029
507,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-221,1990,31.1,1,12,4,33.3,0.39,0.13,0.08,0.25,28.2,11,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,21512407
508,Leandro Trossard,be BEL,FW,Arsenal,28-145,1994,7.1,1,11,3,27.3,1.54,0.42,0.09,0.33,17.1,0,0,0,1.4,1.4,0.13,-0.4,-0.4,Matches,38ceb24a
509,Leandro Trossard,be BEL,FWMF,Brighton,28-145,1994,14.6,7,38,17,44.7,2.60,1.16,0.18,0.41,15.0,0,0,0,4.4,4.4,0.12,+2.6,+2.6,Matches,38ceb24a
510,Kostas Tsimikas,gr GRE,DF,Liverpool,26-351,1996,6.9,0,7,2,28.6,1.01,0.29,0.00,0.00,15.5,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,f315ca93
511,Deniz Undav,de GER,FWMF,Brighton,26-283,1996,3.0,0,14,4,28.6,4.60,1.31,0.00,0.00,10.1,0,0,0,2.2,2.2,0.18,-2.2,-2.2,Matches,dd549382
512,Yan Valery,tn TUN,DF,Southampton,24-065,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,531a4aa8
513,Virgil van Dijk,nl NED,DF,Liverpool,31-294,1991,26.5,3,27,9,33.3,1.02,0.34,0.11,0.33,11.4,0,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches,e06683ca
514,Raphaël Varane,fr FRA,DF,Manchester Utd,30-003,1993,18.3,0,6,3,50.0,0.33,0.16,0.00,0.00,8.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches,9f8e9423
515,Jamie Vardy,eng ENG,FW,Leicester City,36-107,1987,17.0,2,20,8,40.0,1.18,0.47,0.10,0.25,11.9,0,0,0,3.2,3.2,0.16,-1.2,-1.2,Matches,45963054
516,Joël Veltman,nl NED,DF,Brighton,31-103,1992,22.1,1,14,4,28.6,0.63,0.18,0.07,0.25,16.7,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches,dad4b285
517,Fabio Vieira,pt POR,MF,Arsenal,22-333,2000,5.3,1,15,2,13.3,2.83,0.38,0.07,0.50,20.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,6412cc03
518,Matías Viña,uy URU,DFMF,Bournemouth,25-170,1997,2.1,1,3,1,33.3,1.44,0.48,0.33,1.00,20.9,0,0,0,0.5,0.5,0.15,+0.5,+0.5,Matches,08eb3b58
519,Rúben Vinagre,pt POR,DFMF,Everton,24-019,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b937e490
520,Carlos Vinícius,br BRA,FW,Fulham,28-034,1995,8.6,2,14,7,50.0,1.62,0.81,0.14,0.29,11.3,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Matches,8b529245
521,Theo Walcott,eng ENG,FWMF,Southampton,34-043,1989,9.1,2,17,7,41.2,1.88,0.77,0.12,0.29,17.6,0,0,0,2.0,2.0,0.12,0.0,0.0,Matches,1ecb65be
522,Kyle Walker,eng ENG,DF,Manchester City,32-335,1990,15.3,0,3,1,33.3,0.20,0.07,0.00,0.00,24.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,Matches,86dd77d1
523,Kyle Walker-Peters,eng ENG,DF,Southampton,26-015,1997,24.4,1,10,3,30.0,0.41,0.12,0.10,0.33,17.5,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,984a5a64
524,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-153,1997,11.0,0,7,2,28.6,0.64,0.18,0.00,0.00,16.4,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,9e525177
525,Danny Ward,wls WAL,GK,Leicester City,29-310,1993,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d3ce0e89
526,Joel Ward,eng ENG,DF,Crystal Palace,33-181,1989,20.1,0,4,0,0.0,0.20,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,8a7ff278
527,James Ward-Prowse,eng ENG,MF,Southampton,28-178,1994,32.5,7,36,13,36.1,1.11,0.40,0.17,0.46,27.4,15,1,3,4.8,2.3,0.06,+2.2,+3.7,Matches,3515d404
528,Ollie Watkins,eng ENG,FW,Aston Villa,27-119,1995,29.8,14,78,42,53.8,2.62,1.41,0.17,0.31,12.6,0,1,1,13.7,12.9,0.17,+0.3,+0.1,Matches,aed3a70f
529,Adam Webster,eng ENG,DF,Brighton,28-114,1995,18.8,0,16,1,6.3,0.85,0.05,0.00,0.00,11.4,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches,c40b6180
