,,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
74,Tom Cairney,sct SCO,MF,Fulham,32-098,1991,6.4,585,4,83,278,234,20,585,14,6,42.9,6,42.9,389,2147,1066,24,20,6,17,16,443,35,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-223,1996,10.5,695,136,416,268,15,9,695,2,2,100.0,0,0.0,387,1829,993,5,1,0,1,2,429,0,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-043,1997,10.0,271,12,25,109,143,44,271,21,12,57.1,7,33.3,133,669,245,11,5,8,27,11,210,40,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-119,2002,0.8,47,1,6,19,23,5,47,4,2,50.0,2,50.0,39,303,70,2,6,1,3,6,36,10,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-336,1994,14.2,1363,20,225,686,461,47,1363,60,30,50.0,23,38.3,838,4860,2808,72,39,21,18,14,1020,125,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-121,2002,0.3,8,0,0,2,6,4,8,1,0,0.0,0,0.0,6,34,7,1,0,0,0,0,7,2,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-085,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-044,1993,2.0,140,8,49,85,9,4,140,0,0,,0,,92,284,150,0,2,0,2,0,100,0,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-241,2002,3.8,187,2,31,70,89,26,187,5,2,40.0,2,40.0,118,520,212,7,8,2,10,15,140,26,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-064,1992,16.9,1259,79,375,691,204,15,1259,15,6,40.0,6,40.0,621,1995,917,9,13,0,15,11,793,27,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-264,1997,18.2,1131,69,382,507,252,11,1131,30,15,50.0,7,23.3,581,3011,1633,41,32,4,22,7,630,56,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-144,1995,31.2,1993,131,723,812,467,49,1993,26,10,38.5,13,50.0,876,3568,1738,36,21,5,28,16,1126,136,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-056,1994,14.0,1004,53,343,444,227,13,1004,32,14,43.8,15,46.9,499,2623,1495,24,18,4,16,13,600,46,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-095,2004,3.7,170,2,8,65,101,20,170,21,13,61.9,6,28.6,111,713,434,15,11,7,8,11,128,31,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-137,1994,0.1,11,4,5,3,3,1,11,0,0,,0,,6,16,8,0,1,0,1,1,8,0,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-297,1999,13.3,976,97,462,418,98,13,976,6,4,66.7,1,16.7,582,2059,1060,11,9,0,5,4,671,15,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-098,1995,3.6,222,29,112,85,27,1,222,0,0,,0,,128,733,496,5,4,0,1,1,138,1,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-128,1996,13.8,1034,17,252,391,394,30,1034,23,8,34.8,12,52.2,579,3139,1700,41,33,8,20,17,655,122,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-065,1995,16.4,758,33,149,333,289,49,758,67,28,41.8,33,49.3,450,2796,1206,33,27,12,40,31,475,62,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-190,2003,2.6,162,5,31,62,71,12,162,9,4,44.4,5,55.6,98,701,454,13,3,1,10,3,106,16,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-080,2005,0.1,7,0,0,0,7,1,7,1,0,0.0,1,100.0,3,3,0,0,0,0,2,0,3,2,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-023,1991,18.2,971,44,313,475,186,3,971,12,5,41.7,5,41.7,423,1778,896,14,10,1,12,3,531,29,Matches,0442183b
