,,,,,,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
72,Cafú,pt POR,MF,Nott'ham Forest,30-061,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,85322440
73,Moisés Caicedo,ec ECU,MF,Brighton,21-177,2001,28.1,74,2.63,67,0,2,3,1,1,4,0.14,4,0,0,0,0,0,Matches,16264a81
74,Tom Cairney,sct SCO,MF,Fulham,32-098,1991,6.4,30,4.67,24,2,1,2,0,1,1,0.16,1,0,0,0,0,0,Matches,a8748947
75,Duje Ćaleta-Car,hr CRO,DF,Southampton,26-223,1996,10.5,6,0.57,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,94f8d10c
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-043,1997,10.0,16,1.60,11,0,5,0,0,0,2,0.20,1,0,1,0,0,0,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-119,2002,0.8,2,2.43,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-336,1994,14.2,39,2.76,30,0,2,5,1,1,6,0.42,5,0,1,0,0,0,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-121,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-085,1997,0.9,3,3.51,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-044,1993,2.0,2,1.01,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-241,2002,3.8,9,2.38,5,0,0,2,2,0,2,0.53,1,0,0,1,0,0,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-064,1992,16.9,47,2.79,42,0,0,4,1,0,6,0.36,6,0,0,0,0,0,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-264,1997,18.2,28,1.54,25,0,1,0,1,1,3,0.16,2,0,0,0,0,1,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-144,1995,31.2,47,1.51,40,2,1,2,1,1,4,0.13,3,0,0,1,0,0,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-056,1994,14.0,24,1.71,20,0,0,0,3,1,1,0.07,1,0,0,0,0,0,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-095,2004,3.7,19,5.17,10,0,4,5,0,0,2,0.54,0,0,1,1,0,0,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-137,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-297,1999,13.3,7,0.53,4,0,0,2,1,0,1,0.08,1,0,0,0,0,0,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-098,1995,3.6,5,1.38,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-128,1996,13.8,39,2.82,19,17,0,1,2,0,4,0.29,2,1,0,0,1,0,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-065,1995,16.4,53,3.24,39,3,3,5,3,0,2,0.12,1,0,0,1,0,0,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-190,2003,2.6,7,2.72,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-080,2005,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-023,1991,18.2,18,0.99,16,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-062,1993,21.9,17,0.78,15,0,0,1,1,0,1,0.05,1,0,0,0,0,0,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-186,1989,5.5,3,0.54,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-199,1988,17.9,18,1.01,13,1,1,1,2,0,1,0.06,1,0,0,0,0,0,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-363,2001,17.6,10,0.57,8,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-061,2003,8.9,9,1.01,7,1,0,1,0,0,1,0.11,1,0,0,0,0,0,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-084,1997,17.4,35,2.01,24,7,0,0,1,3,4,0.23,2,1,0,0,0,1,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-009,1991,10.6,6,0.56,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-241,1991,14.5,16,1.11,13,1,0,2,0,0,3,0.21,3,0,0,0,0,0,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-213,1996,1.8,6,3.31,4,0,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-203,1988,11.3,20,1.77,12,0,3,3,2,0,1,0.09,1,0,0,0,0,0,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-249,1992,20.1,43,2.14,29,12,0,1,1,0,3,0.15,2,1,0,0,0,0,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-320,1992,8.8,24,2.74,19,1,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-034,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-134,1989,21.6,69,3.20,40,26,0,2,1,0,1,0.05,0,1,0,0,0,0,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-280,1998,18.6,27,1.46,21,6,0,0,0,0,3,0.16,2,1,0,0,0,0,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,20,2.16,15,1,1,1,2,0,0,0.00,0,0,0,0,0,0,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,27,2.24,18,1,1,5,2,0,6,0.50,3,0,1,2,0,0,Matches,ca45605e
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,49,2.35,45,0,1,2,0,1,2,0.10,2,0,0,0,0,0,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,21,2.59,17,3,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,16,2.27,12,1,2,0,1,0,3,0.43,2,0,1,0,0,0,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,2,1.98,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,38,2.63,33,1,2,1,1,0,5,0.35,4,0,0,0,1,0,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,31,1.51,28,0,0,3,0,0,6,0.29,4,0,0,2,0,0,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,6,1.00,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,12,1.50,10,0,0,1,1,0,1,0.12,0,0,0,0,1,0,Matches,3e9e06cb
