,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
76,Dominic Calvert-Lewin,eng ENG,FW,Everton,26-043,1997,10.0,104,167,62.3,1241,203,62,93,66.7,26,42,61.9,3,5,60.0,0,0.3,0.2,-0.3,5,9,1,0,11,Matches,59e6e5bf
77,Chem Campbell,wls WAL,FWMF,Wolves,20-119,2002,0.8,23,32,71.9,344,64,10,11,90.9,13,14,92.9,0,5,0.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches,6f711f67
78,João Cancelo,pt POR,DF,Manchester City,28-336,1994,14.2,1036,1220,84.9,16674,4147,578,621,93.1,363,430,84.4,81,123,65.9,1,0.9,1.5,+0.1,12,80,36,9,106,Matches,bd6351cd
79,Thomas Cannon,ie IRL,FW,Everton,20-121,2002,0.3,4,5,80.0,37,0,3,4,75.0,1,1,100.0,0,0,,0,0.5,0.0,-0.5,1,0,0,0,0,Matches,4506aec5
80,Sergi Canós,es ESP,FWDF,Brentford,26-085,1997,0.9,23,43,53.5,268,76,14,18,77.8,4,15,26.7,1,2,50.0,0,0.0,0.0,0.0,1,2,1,0,2,Matches,1137759d
81,Diego Carlos,br BRA,DF,Aston Villa,30-044,1993,2.0,101,128,78.9,2087,802,30,36,83.3,57,66,86.4,14,24,58.3,0,0.0,0.0,0.0,0,8,0,0,10,Matches,b4a014b1
82,Fabio Carvalho,pt POR,MFFW,Liverpool,20-241,2002,3.8,114,139,82.0,1526,270,70,81,86.4,30,37,81.1,5,6,83.3,0,0.1,0.2,-0.1,1,7,2,0,11,Matches,966e28d0
83,Casemiro,br BRA,MF,Manchester Utd,31-064,1992,16.9,789,1024,77.1,14158,4866,355,428,82.9,321,391,82.1,95,155,61.3,3,2.3,3.0,+0.7,19,93,18,4,101,Matches,4d224fe8
84,Matty Cash,pl POL,DF,Aston Villa,25-264,1997,18.2,733,939,78.1,12836,4308,327,364,89.8,339,411,82.5,57,125,45.6,1,0.7,0.9,+0.3,8,55,15,9,74,Matches,2389cdc2
85,Timothy Castagne,be BEL,DF,Leicester City,27-144,1995,31.2,1324,1646,80.4,19013,7513,813,910,89.3,416,519,80.2,55,110,50.0,3,2.5,2.1,+0.5,21,82,18,9,99,Matches,197640fd
86,Jonny Castro,es ESP,DF,Wolves,29-056,1994,14.0,701,832,84.3,11101,3638,382,419,91.2,264,305,86.6,44,62,71.0,0,1.0,0.8,-1.0,5,60,10,2,70,Matches,e28868f3
87,Julio César Enciso,py PAR,FWMF,Brighton,19-095,2004,3.7,86,114,75.4,1035,231,62,76,81.6,22,28,78.6,0,4,0.0,0,0.3,0.6,-0.3,5,9,3,0,13,Matches,9cfbad36
88,Nathaniel Chalobah,eng ENG,MF,Fulham,28-137,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,422862ea
89,Trevoh Chalobah,eng ENG,DF,Chelsea,23-297,1999,13.3,746,844,88.4,13449,3890,289,322,89.8,398,429,92.8,53,73,72.6,0,0.2,0.3,-0.2,2,42,2,1,45,Matches,5515376c
90,Calum Chambers,eng ENG,DFMF,Aston Villa,28-098,1995,3.6,144,188,76.6,2740,1183,58,67,86.6,72,86,83.7,14,30,46.7,0,0.3,0.2,-0.3,2,7,2,1,15,Matches,dc6f5bdd
91,Ben Chilwell,eng ENG,DFMF,Chelsea,26-128,1996,13.8,700,894,78.3,9977,2975,437,470,93.0,198,253,78.3,39,112,34.8,2,2.2,2.2,-0.2,21,40,8,5,38,Matches,d2424d1b
92,Ryan Christie,sct SCO,MFFW,Bournemouth,28-065,1995,16.4,415,520,79.8,6681,1586,218,259,84.2,144,161,89.4,37,66,56.1,0,1.5,1.3,-1.5,23,37,17,2,61,Matches,26ce2263
93,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-190,2003,2.6,98,117,83.8,1240,297,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,12,Matches,b2f9c73e
94,Bobby Clark,eng ENG,MF,Liverpool,18-080,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches,73341ace
95,Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-023,1991,18.2,654,832,78.6,10205,3887,341,386,88.3,283,346,81.8,24,73,32.9,0,0.7,0.6,-0.7,7,51,6,5,52,Matches,0442183b
96,Conor Coady,eng ENG,DF,Everton,30-062,1993,21.9,972,1149,84.6,20673,7966,268,286,93.7,548,588,93.2,148,257,57.6,1,0.3,0.5,+0.7,4,71,3,1,40,Matches,2928dca2
97,Jack Colback,eng ENG,MF,Nott'ham Forest,33-186,1989,5.5,119,143,83.2,1936,446,61,71,85.9,48,55,87.3,8,11,72.7,0,0.2,0.2,-0.2,2,12,3,1,16,Matches,963a9201
98,Séamus Coleman,ie IRL,DF,Everton,34-199,1988,17.9,567,748,75.8,9151,3633,291,335,86.9,223,281,79.4,41,94,43.6,0,0.6,0.6,-0.6,3,34,15,6,55,Matches,0420d84f
99,Nathan Collins,ie IRL,DF,Wolves,21-363,2001,17.6,895,1011,88.5,18112,6244,263,289,91.0,507,540,93.9,108,156,69.2,0,0.1,0.2,-0.1,2,65,2,0,60,Matches,a8c19eb8
100,Levi Colwill,eng ENG,DF,Brighton,20-061,2003,8.9,691,774,89.3,12063,4872,283,308,91.9,348,379,91.8,50,65,76.9,0,0.1,0.2,-0.1,2,51,3,0,47,Matches,700783e7
101,Lewis Cook,eng ENG,MF,Bournemouth,26-084,1997,17.4,532,678,78.5,8930,2776,257,294,87.4,214,248,86.3,46,85,54.1,2,2.3,2.0,-0.3,23,53,11,8,58,Matches,2afc7272
102,Steve Cook,eng ENG,DF,Nott'ham Forest,32-009,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Matches,3e5e4e63
103,Liam Cooper,sct SCO,DF,Leeds United,31-241,1991,14.5,550,704,78.1,10175,4104,216,246,87.8,280,334,83.8,46,105,43.8,0,0.7,0.3,-0.7,5,40,1,1,37,Matches,dc64b8b3
104,Maxwel Cornet,ci CIV,FW,West Ham,26-213,1996,1.8,41,58,70.7,564,108,25,31,80.6,13,17,76.5,1,1,100.0,0,0.1,0.1,-0.1,1,2,1,1,4,Matches,beb391dd
105,Diego Costa,es ESP,FW,Wolves,34-203,1988,11.3,123,175,70.3,1401,252,72,93,77.4,34,42,81.0,1,3,33.3,0,0.5,0.6,-0.5,9,7,4,0,12,Matches,a190d597
106,Vladimír Coufal,cz CZE,DF,West Ham,30-249,1992,20.1,607,986,61.6,10625,5438,289,348,83.0,232,371,62.5,68,186,36.6,1,1.9,1.5,-0.9,20,60,16,11,77,Matches,fdf3cb77
107,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-320,1992,8.8,288,384,75.0,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Matches,0ef89a37
108,Conor Coventry,ie IRL,MFFW,West Ham,23-034,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a5ca9127
109,Aaron Cresswell,eng ENG,DF,West Ham,33-134,1989,21.6,989,1270,77.9,16229,7779,545,582,93.6,337,433,77.8,94,188,50.0,1,3.6,2.8,-2.6,39,80,27,14,134,Matches,4f974391
110,Marc Cucurella,es ESP,DF,Chelsea,24-280,1998,18.6,1090,1293,84.3,16587,5116,600,647,92.7,396,453,87.4,59,110,53.6,2,0.6,0.9,+1.4,11,77,12,6,73,Matches,1daec722
111,Matheus Cunha,br BRA,FW,Wolves,23-336,1999,9.3,151,203,74.4,1842,309,95,115,82.6,32,45,71.1,7,14,50.0,0,0.5,0.2,-0.5,6,5,2,0,13,Matches,dc62b55d
112,Patson Daka,zm ZAM,FW,Leicester City,24-201,1998,12.0,164,252,65.1,2094,410,99,134,73.9,49,74,66.2,3,7,42.9,3,2.6,1.3,+0.4,15,7,8,1,17,Matches,ca45605e
