,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
489,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-274,1998,3.5,36,75,48.0,504,168,22,42,52.4,12,22,54.5,1,3,33.3,0,0.1,0.0,-0.1,1,4,0,0,6,Matches,b017b770
490,Japhet Tanganga,eng ENG,DF,Tottenham,24-028,1999,1.6,82,93,88.2,1323,541,42,47,89.4,34,38,89.5,5,7,71.4,0,0.0,0.0,0.0,0,4,1,1,5,Matches,e9971f2d
491,Matt Targett,eng ENG,DF,Newcastle Utd,27-222,1995,5.8,286,367,77.9,4659,2097,146,165,88.5,120,137,87.6,17,53,32.1,0,0.4,0.6,-0.4,9,19,5,0,39,Matches,e514ab62
492,James Tarkowski,eng ENG,DF,Everton,30-160,1992,33.0,1210,1488,81.3,24246,9416,404,458,88.2,640,729,87.8,154,274,56.2,1,2.2,1.8,-1.2,14,87,2,0,97,Matches,15ea812b
493,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-037,1999,19.4,508,722,70.4,8026,2422,283,337,84.0,164,224,73.2,41,101,40.6,4,2.9,1.4,+1.1,19,34,16,5,56,Matches,5c0da4a4
494,Tetê,br BRA,FW,Leicester City,23-072,2000,7.3,162,230,70.4,2632,598,85,109,78.0,52,71,73.2,16,25,64.0,0,0.4,0.3,-0.4,6,15,4,1,23,Matches,7120a04d
495,Kenny Tete,nl NED,DF,Fulham,27-201,1995,23.5,919,1272,72.2,14740,6154,482,565,85.3,349,485,72.0,68,137,49.6,4,1.7,1.6,+2.3,21,61,23,17,84,Matches,77d7c96f
496,Luke Thomas,eng ENG,DF,Leicester City,21-322,2001,8.5,387,485,79.8,6006,2527,214,241,88.8,149,181,82.3,21,39,53.8,0,0.7,0.4,-0.7,4,27,4,2,37,Matches,fc027d02
497,Youri Tielemans,be BEL,MF,Leicester City,25-356,1997,21.4,1117,1377,81.1,18572,6449,541,611,88.5,440,511,86.1,102,176,58.0,1,3.7,3.1,-2.7,24,143,27,7,163,Matches,56f7a928
498,Kieran Tierney,sct SCO,DF,Arsenal,25-327,1997,6.9,313,417,75.1,5744,1718,129,147,87.8,150,186,80.6,29,58,50.0,1,0.3,0.4,+0.7,4,32,6,1,30,Matches,fce2302c
499,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-252,1995,9.8,226,366,61.7,3549,1749,128,156,82.1,85,138,61.6,10,46,21.7,0,0.8,0.9,-0.8,5,12,7,4,26,Matches,a105d46a
500,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-174,1998,7.4,384,474,81.0,6453,2036,173,200,86.5,171,199,85.9,30,56,53.6,1,0.6,0.2,+0.4,4,41,6,2,51,Matches,b3af9be1
501,James Tomkins,eng ENG,DF,Crystal Palace,34-030,1989,3.8,138,171,80.7,2645,822,47,55,85.5,79,87,90.8,12,27,44.4,0,0.0,0.0,0.0,0,2,0,0,2,Matches,e7ca0439
502,Ivan Toney,eng ENG,FW,Brentford,27-043,1996,30.8,441,752,58.6,5595,1940,282,405,69.6,95,170,55.9,23,51,45.1,4,4.9,3.4,-0.9,25,52,24,5,73,Matches,e09f279b
503,Adama Traoré,es ESP,FWMF,Wolves,27-093,1996,14.3,289,439,65.8,4279,1059,179,239,74.9,73,113,64.6,23,39,59.0,1,3.5,2.9,-2.5,21,15,19,13,32,Matches,9a28eba4
504,Bertrand Traoré,bf BFA,FW,Aston Villa,27-234,1995,1.8,41,52,78.8,646,173,22,26,84.6,16,18,88.9,2,2,100.0,0,0.1,0.1,-0.1,1,1,3,2,7,Matches,c47541e0
505,Boubacar Traoré,ml MLI,MF,Wolves,21-251,2001,4.3,97,125,77.6,1641,548,44,53,83.0,47,54,87.0,5,10,50.0,1,0.2,0.1,+0.8,1,16,1,0,8,Matches,999ceb5f
506,Mark Travers,ie IRL,GK,Bournemouth,23-345,1999,10.5,244,324,75.3,7221,5230,83,83,100.0,82,83,98.8,78,157,49.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches,fe558029
507,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-221,1990,31.1,1624,2285,71.1,30913,13954,718,819,87.7,608,807,75.3,269,551,48.8,6,9.6,9.6,-3.6,92,140,81,25,207,Matches,21512407
508,Leandro Trossard,be BEL,FW,Arsenal,28-145,1994,7.1,260,335,77.6,4347,1029,124,141,87.9,100,120,83.3,27,44,61.4,8,3.7,2.5,+4.3,15,16,21,4,43,Matches,38ceb24a
509,Leandro Trossard,be BEL,FWMF,Brighton,28-145,1994,14.6,379,529,71.6,6222,1920,199,236,84.3,124,178,69.7,40,63,63.5,2,2.1,2.1,-0.1,23,42,25,7,67,Matches,38ceb24a
510,Kostas Tsimikas,gr GRE,DF,Liverpool,26-351,1996,6.9,374,489,76.5,6584,1864,181,212,85.4,134,164,81.7,50,90,55.6,4,1.5,1.1,+2.5,17,15,6,3,22,Matches,f315ca93
511,Deniz Undav,de GER,FWMF,Brighton,26-283,1996,3.0,58,72,80.6,657,122,40,46,87.0,12,14,85.7,1,4,25.0,0,0.8,0.7,-0.8,6,1,2,0,3,Matches,dd549382
512,Yan Valery,tn TUN,DF,Southampton,24-065,1999,0.5,15,23,65.2,213,39,9,10,90.0,4,6,66.7,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,531a4aa8
513,Virgil van Dijk,nl NED,DF,Liverpool,31-294,1991,26.5,1983,2201,90.1,39240,14136,673,724,93.0,1076,1138,94.6,215,300,71.7,0,0.3,0.6,-0.3,5,134,6,0,113,Matches,e06683ca
514,Raphaël Varane,fr FRA,DF,Manchester Utd,30-003,1993,18.3,817,952,85.8,15396,4757,266,299,89.0,483,524,92.2,57,106,53.8,0,0.2,0.3,-0.2,4,67,3,0,53,Matches,9f8e9423
515,Jamie Vardy,eng ENG,FW,Leicester City,36-107,1987,17.0,119,222,53.6,1672,340,61,100,61.0,40,74,54.1,6,14,42.9,4,1.2,0.6,+2.8,13,7,5,1,13,Matches,45963054
516,Joël Veltman,nl NED,DF,Brighton,31-103,1992,22.1,1179,1414,83.4,20450,6685,496,553,89.7,580,662,87.6,82,139,59.0,1,0.5,0.9,+0.5,8,152,10,4,142,Matches,dad4b285
517,Fabio Vieira,pt POR,MF,Arsenal,22-333,2000,5.3,217,268,81.0,3252,771,121,132,91.7,75,89,84.3,9,23,39.1,2,2.5,1.4,-0.5,11,23,7,2,30,Matches,6412cc03
518,Matías Viña,uy URU,DFMF,Bournemouth,25-170,1997,2.1,58,78,74.4,840,328,40,44,90.9,16,20,80.0,2,9,22.2,0,0.2,0.1,-0.2,2,6,1,0,8,Matches,08eb3b58
519,Rúben Vinagre,pt POR,DFMF,Everton,24-019,1999,0.3,15,24,62.5,223,26,7,10,70.0,7,10,70.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,b937e490
520,Carlos Vinícius,br BRA,FW,Fulham,28-034,1995,8.6,86,139,61.9,1030,278,50,73,68.5,21,32,65.6,3,7,42.9,1,0.6,0.7,+0.4,5,8,5,1,9,Matches,8b529245
521,Theo Walcott,eng ENG,FWMF,Southampton,34-043,1989,9.1,123,181,68.0,1611,345,81,102,79.4,31,52,59.6,2,8,25.0,1,1.1,1.1,-0.1,10,5,3,2,7,Matches,1ecb65be
522,Kyle Walker,eng ENG,DF,Manchester City,32-335,1990,15.3,1158,1336,86.7,20203,5586,517,559,92.5,530,589,90.0,97,148,65.5,0,0.2,0.5,-0.2,5,124,6,2,116,Matches,86dd77d1
523,Kyle Walker-Peters,eng ENG,DF,Southampton,26-015,1997,24.4,833,1102,75.6,12382,4989,488,542,90.0,278,373,74.5,43,101,42.6,0,1.1,2.2,-1.1,13,59,26,8,86,Matches,984a5a64
524,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-153,1997,11.0,504,603,83.6,6834,2505,321,347,92.5,136,168,81.0,20,33,60.6,0,0.9,0.8,-0.9,10,37,8,2,42,Matches,9e525177
525,Danny Ward,wls WAL,GK,Leicester City,29-310,1993,26.0,708,945,74.9,16865,10488,197,199,99.0,352,355,99.2,158,383,41.3,0,0.0,0.0,0.0,0,7,0,0,0,Matches,d3ce0e89
526,Joel Ward,eng ENG,DF,Crystal Palace,33-181,1989,20.1,709,946,74.9,11375,5174,364,421,86.5,280,347,80.7,45,127,35.4,0,0.2,0.4,-0.2,6,55,6,4,72,Matches,8a7ff278
527,James Ward-Prowse,eng ENG,MF,Southampton,28-178,1994,32.5,1521,1938,78.5,25830,7777,734,814,90.2,606,719,84.3,140,311,45.0,2,5.4,4.5,-3.4,66,168,29,15,178,Matches,3515d404
528,Ollie Watkins,eng ENG,FW,Aston Villa,27-119,1995,29.8,354,508,69.7,4253,789,236,309,76.4,75,110,68.2,12,15,80.0,6,3.3,2.4,+2.7,26,23,15,2,35,Matches,aed3a70f
529,Adam Webster,eng ENG,DF,Brighton,28-114,1995,18.8,1262,1439,87.7,23534,8500,452,492,91.9,692,763,90.7,108,154,70.1,0,0.1,0.3,-0.1,4,104,4,1,96,Matches,c40b6180
530,Wout Weghorst,nl NED,FWMF,Manchester Utd,30-264,1992,7.4,116,160,72.5,1362,338,75,99,75.8,21,27,77.8,5,11,45.5,1,0.9,0.9,+0.1,11,7,1,0,14,Matches,c4e87b8b
531,Danny Welbeck,eng ENG,FW,Brighton,32-153,1990,16.6,277,334,82.9,3268,582,177,202,87.6,73,85,85.9,2,7,28.6,2,2.7,1.5,-0.7,20,20,11,0,37,Matches,ce5143da
532,Ben White,eng ENG,DF,Arsenal,25-202,1997,28.9,1625,1947,83.5,27115,9159,764,841,90.8,733,841,87.2,97,186,52.2,5,3.0,3.3,+2.0,23,193,38,11,219,Matches,35e413f1
533,Harvey White,eng ENG,MF,Tottenham,21-221,2001,0.1,3,8,37.5,54,21,2,3,66.7,0,2,0.0,1,3,33.3,0,0.0,0.0,0.0,0,0,1,1,0,Matches,4d90ce8c
534,Joseph Whitworth,eng ENG,GK,Crystal Palace,19-058,2004,2.0,61,83,73.5,1486,886,12,12,100.0,36,37,97.3,13,34,38.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches,3f847d95
535,Neco Williams,wls WAL,DF,Nott'ham Forest,22-015,2001,20.9,533,840,63.5,9565,3461,254,307,82.7,196,286,68.5,68,177,38.4,0,1.4,1.2,-1.4,15,29,14,9,33,Matches,dd323728
536,Willian,br BRA,FW,Fulham,34-262,1988,19.0,560,716,78.2,9514,1862,283,332,85.2,195,237,82.3,64,104,61.5,3,3.1,1.8,-0.1,36,35,22,1,90,Matches,8b9ebd03
537,Joe Willock,eng ENG,MF,Newcastle Utd,23-251,1999,25.0,700,858,81.6,10906,2717,398,448,88.8,231,270,85.6,52,78,66.7,6,5.2,3.9,+0.8,30,76,29,7,105,Matches,a3b03921
538,Callum Wilson,eng ENG,FW,Newcastle Utd,31-060,1992,16.7,140,205,68.3,1758,294,94,121,77.7,31,40,77.5,4,10,40.0,4,2.2,1.8,+1.8,18,8,6,0,17,Matches,c596fcb0
539,Harry Wilson,wls WAL,FW,Fulham,26-037,1997,7.3,190,253,75.1,2982,568,101,114,88.6,67,83,80.7,13,30,43.3,0,0.2,0.3,-0.2,4,13,4,0,23,Matches,c6dc9ecd
540,Yoane Wissa,cd COD,FW,Brentford,26-237,1996,14.7,198,288,68.8,2668,509,134,160,83.8,43,66,65.2,10,25,40.0,2,2.3,0.9,-0.3,10,19,8,0,24,Matches,2500cef9
541,Maximilian Wöber,at AUT,DF,Leeds United,25-083,1998,9.8,343,488,70.3,6688,2899,120,154,77.9,186,233,79.8,34,85,40.0,0,0.5,0.3,-0.5,5,39,2,1,38,Matches,4b803b3c
542,Chris Wood,nz NZL,FW,Newcastle Utd,31-142,1991,5.0,66,106,62.3,786,149,40,67,59.7,16,25,64.0,4,5,80.0,0,0.3,0.3,-0.3,3,3,1,0,4,Matches,4e9a0555
543,Chris Wood,nz NZL,FW,Nott'ham Forest,31-142,1991,4.1,43,71,60.6,581,139,26,43,60.5,14,22,63.6,1,2,50.0,0,0.2,0.1,-0.2,3,5,2,0,7,Matches,4e9a0555
544,Joe Worrall,eng ENG,DF,Nott'ham Forest,26-108,1997,20.4,790,1010,78.2,16447,5996,233,285,81.8,425,492,86.4,125,210,59.5,0,0.8,0.6,-0.8,5,66,6,0,57,Matches,a5212312
545,Granit Xhaka,ch SUI,MF,Arsenal,30-213,1992,29.1,1258,1486,84.7,20615,5408,617,694,88.9,499,576,86.6,104,128,81.3,5,4.5,3.7,+0.5,42,135,38,3,184,Matches,e61b8aee
546,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-158,1997,16.6,390,500,78.0,6592,1588,170,206,82.5,178,204,87.3,30,54,55.6,2,1.2,0.4,+0.8,7,22,2,0,37,Matches,c1fe2a48
547,Ashley Young,eng ENG,DF,Aston Villa,37-293,1985,19.8,784,1045,75.0,14088,5426,360,407,88.5,344,427,80.6,71,164,43.3,0,0.9,0.7,-0.9,13,75,17,5,96,Matches,be927d03
548,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-239,2002,0.3,5,6,83.3,143,108,0,0,,3,3,100.0,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,1,Matches,88968486
549,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-169,1992,22.9,430,553,77.8,5999,1327,276,314,87.9,123,152,80.9,17,33,51.5,2,2.5,2.6,-0.5,23,16,34,2,60,Matches,b2bc3b1f
550,Denis Zakaria,ch SUI,MF,Chelsea,26-159,1996,4.6,158,179,88.3,2222,571,90,98,91.8,54,56,96.4,5,6,83.3,0,0.0,0.1,0.0,1,8,0,0,6,Matches,384d58d9
551,Jordan Zemura,zw ZIM,DF,Bournemouth,23-165,1999,16.2,423,594,71.2,6117,3247,242,284,85.2,133,187,71.1,23,55,41.8,1,1.9,2.1,-0.9,18,32,12,5,45,Matches,e8271ad9
552,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-134,1996,22.1,1553,1798,86.4,25363,7292,770,834,92.3,644,739,87.1,102,143,71.3,2,1.4,2.3,+0.6,19,189,39,4,215,Matches,51cf8561
553,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-040,1993,6.7,221,344,64.2,3619,1354,128,147,87.1,67,107,62.6,22,61,36.1,1,1.5,1.3,-0.5,11,19,15,7,36,Matches,6622454d
554,Kurt Zouma,fr FRA,DF,West Ham,28-183,1994,21.4,688,815,84.4,13317,4381,238,262,90.8,359,401,89.5,79,128,61.7,0,0.1,0.1,-0.1,1,19,2,0,30,Matches,ce4246f5
555,Martin Ødegaard,no NOR,MF,Arsenal,24-132,1998,30.2,1261,1566,80.5,19796,5362,652,746,87.4,454,543,83.6,101,158,63.9,7,7.1,7.0,-0.1,66,117,83,4,234,Matches,79300479
